#,headAR,bodyAR,headDV,bodyDV,footAR,footDV,headEN-HDN,bodyEN-HDN
39,١٨ - دُعَاءُ الرَّفْعِ مِنَ الرُّكُوعِ,٣٩ - رَبَّنَا وَلَكَ الْحَمْدُ، حَمْداً كَثيراً طَيِّباً مُبارَكاً فِيهِ,𝟣𝟪 - ރުކޫއިން ތެދުވެގެން ކިޔާ ދުއާ,އަޅަމެންގެ ރައްބެވެ! ގިނަވެގެންވާ، ރިވެތިވެގެންވާ، ބަރަކާތް ލެއްވިގެންވާ ހަމްދަކުން އިބަ ﷲ އަށް ހަމްދު ލިބިވޮޑިގެންވެއެވެ.,,,𝟣𝟪 Upon rising from the bowing position,"Our Lord, praise is Yours, abundant, good and blessed praise."
40,١٨ - دُعَاءُ الرَّفْعِ مِنَ الرُّكُوعِ,٤٠ - مِلْءَ السَّمَوَاتِ وَمِلْءَ الأَرْضِ، وَمَا بَيْنَهُمَا، وَمِلْءَ مَا شِئْتَ مِنْ شَيءٍ بَعْدُ. أَهلَ الثَّناءِ وَالْمَجْدِ، أَحَقُّ مَا قَالَ الْعَبْدُ، وَكُلُّنَا لَكَ عَبْدٌ. اللَّهُمَّ لَا مَانِعَ لِمَا أَعْطَيْتَ، وَلَا مُعْطِيَ لِمَا مَنَعْتَ، وَلَا يَنْفَعُ ذَا الجَدِّ مِنْكَ الجَدُّ,𝟣𝟪 - ރުކޫއިން ތެދުވެގެން ކިޔާ ދުއާ,އޭ ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! އުޑުތަކާއި، ބިމާއި، އެ ދެމެދުގައި ވާހައި އެއްޗަކާއި އަދި އެއަށްފަހުވެސް އިބަ ﷲ އިރާދަކުރެއްވި އެއްޗެއް ފުރައި އިބަ ﷲ އަށް ހަމްދު ލިބިވޮޑިގެންވެއެވެ. އޭ އެންމެހާ ރިވެތި ސަނާއަކާއި، އެންމެހާ މަތިވެރިކަމެއްގެ ވެރިރަސްކަލާކޮ! އަޅަކު ދަންނަވާނެ އެންމެ ހައްގުވެގެންވާ ބަހަކީ މިއީއެވެ. އަދި އަޅަމެން އެންމެންނީ އިބަ ﷲ ގެ އަޅުންނީމުއެވެ. އޭ ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! އިބަ ﷲ ދެއްވާ އެއްޗެއް މަނާކުރާނެ ފަރާތެއް ނުވެއެވެ. އަދި އިބަ ﷲ މަނާކުރެއްވި އެއްޗެއް ދޭނެ އެހެންފަރާތެއްވެސް ނުމެވޭމެއެވެ. އަދި އެއްވެސް ގަދަރުވެރިޔަކަށް ނުވަތަ ނަސީބުވެރިޔަކަށް އޭނާގެ ގަދަރުވެރިކަން ނުވަތަ ނަސީބުވެރިކަން އިބަ އިލާހުގެ ހަޒްރަތުން އެއްވެސް ފައިދާއެއް ނުކޮށްދޭނެތެވެ. (ހަމައެކަނި ފައިދާކޮށްދޭނީ ސާލިހު އަމަލެވެ.),,,𝟣𝟪 Upon rising from the bowing position,"(A praise that) fills the heavens and the earth and what lies between them, and whatever else You please. (You Allah) are most worthy of praise and majesty, and what the slave has said - we are all Your slaves. O Allah, there is none who can withhold what You give, and none may give what You have withheld. And the might of the mighty person cannot benefit him against You."
41,١٩ - دُعَاءُ السُّجُودِ,٤١ - ((سُبْحَانَ رَبِّيَ الأَعْلَى)) ثلاث مرَّاتٍ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,"(ތިންފަހަރު) ""މި އަޅާ ހައްދަވައި ބޮޑުކުރެއްވި، މަތިވެރި އިލާހުގެ ހުސްތާހިރު ވަންތަކަމާއެވެ!""",,,𝟣𝟫 While prostrating,"Glory is to my Lord, the Most High. (This is said three times in Arabic.)"
42,١٩ - دُعَاءُ السُّجُودِ,٤٢ - سُبْحَانَكَ اللَّهُمَّ رَبَّنَا وَبِحَمْدِكَ، اللَّهُمَّ اغْفِرْ لِي,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,އިބަ ﷲ ގެ ހުސްތާހިރުވަންތަކަމާއެވެ! ޔާ ﷲ! އަޅަމެންގެ ރައްބެވެ! އަދި ހުރިހާ ހަމްދުތައުރީފެއް އިބަ ﷲ އަށް ލިބިވޮޑިގެންވެއެވެ. ޔާ ﷲ! މި އަޅާއަށް ފާފަ ފުއްސަވާނދޭވެ!,,,𝟣𝟫 While prostrating,"Glory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me."
43,١٩ - دُعَاءُ السُّجُودِ,٤٣ - سُبوحٌ، قُدُّوسٌ، رَبُّ الْمَلَائِكَةِ وَالرُّوحِ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,އެ އިލާހީ ހުރިހާ އުނިސިފަތަކަކުން ހުސްދުރުވެވޮޑިގެންވާ އިލާހެވެ. ހުރިހާ ޢައިބަކުން ހުސްތާހިރުވެ ވޮޑިގެންވާ އިލާހެވެ. އެ އިލާހީ މަލާއިކަތުންނާއި، ޖިބްރީލުގެ ރައްބެވެ.,,,𝟣𝟫 While prostrating,"Glory (to You), Most Holy (are You), Lord of the angels and the Spirit."
44,١٩ - دُعَاءُ السُّجُودِ,٤٤ - اللَّهُمَّ لَكَ سَجَدْتُ وَبِكَ آمَنْتُ، وَلَكَ أَسْلَمْتُ، سَجَدَ وَجْهِيَ لِلَّذِي خَلَقَهُ، وَصَوَّرَهُ، وَشَقَّ سَمْعَهُ وَبَصَرَهُ، تَبَارَكَ اللَّهُ أَحْسنُ الْخَالِقينَ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,ޔާ ﷲ! މި އަޅާ ހަމައެކަނި އިބަ ﷲ އަށް ސަޖިދަކޮށްފީމެވެ. އަދި މި އަޅާ ހަމައެކަނި އިބަ ﷲ އަށް އީމާންވެއްޖައީމެވެ. އަދި މި އަޅާ ހަމައެކަނި އިބަ ﷲ އަށް ބޯލަނބައި ކިޔަމަންވެއްޖައީމެވެ. މި އަޅާގެ މޫނުހައްދަވައި، އެމޫނު ބުރުސޫރަކުރައްވައި، އެމޫނުގެ އިވުމާއި، ފެނުން ހާމަކޮށްދެއްވި ފަރާތަށް މި އަޅާގެ މޫނު ސަޖިދަކޮށްފިއެވެ. ﷲ ގެ މަތިވެރިކަމާއެވެ! އެ އިލާހީ އެންމެ ރިވެތިކޮށް ހައްދަވައި ޚަލްގު ކުރައްވާ ފަރާތެވެ.,,,𝟣𝟫 While prostrating,"O Allah, to You I prostrate myself and in You I believe. To You I have submitted. My face is prostrated to the One Who created it, fashioned it, and gave it hearing and sight. Blessed is Allah, the Best of creators"
45,١٩ - دُعَاءُ السُّجُودِ,٤٥ - سُبْحَانَ ذِي الْجَبَرُوتِ، وَالْمَلَكُوتِ، وَالْكِبْرِيَاءِ، وَالْعَظَمَةِ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,ގަދަފަދަކަމާއި، ވެރިކަމާއި، ބޮޑުކަމާއި، މަތިވެރިކަމުގެ ވެރި އިލާހުގެ ހުސްތާހިރުވަންތަކަމާއެވެ!,,,𝟣𝟫 While prostrating,"Glory is to the master of power, sovereignty, of majesty and greatness."
46,١٩ - دُعَاءُ السُّجُودِ,٤٦ - اللَّهُمَّ اغْفِرْ لِي ذَنْبِي كُلَّهُ: دِقَّهُ وَجِلَّهُ، وَأَوَّلَهُ وَآخِرَهُ، وَعَلاَنِيَتَهُ وَسِرَّهُ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,ޔާ ﷲ! މި އަޅާގެ ހުރިހާ ފާފައެއް ފުއްސަވާނދޭވެ! އޭގެ ކުދިފާފަތަކާއި ބޮޑެތިފާފަތަކެވެ. އަދި ފުރަތަމަ ފާފައާއި އެންމެފަހުގެ ފާފައެވެ. ފާޅުވެގެންވާ ފާފައާއި ސިއްރުވެ ވަންހަނާވެގެންވާ ފާފައެވެ.,,,𝟣𝟫 While prostrating,"O Allah, forgive me all my sins, great and small, the first and the last, those that are apparent and those that are hidden."
47,١٩ - دُعَاءُ السُّجُودِ,٤٧ - اللَّهُمَّ إِنِّي أَعُوذُ بِرِضَاكَ مِنْ سَخَطِكَ، وَبِمُعَافَاتِكَ مِنْ عُقوبَتِكَ، وَأَعُوذُ بِكَ مِنْكَ، لَا أُحْصِي ثَنَاءً عَلَيْكَ، أَنْتَ كَمَا أَثْنَيْتَ عَلَى نَفْسِكَ,𝟣𝟫 - ސަޖިދައިގާ ކިޔާ ދުއާ,ޔާ ﷲ! ހަމަކަށަވަރުން މި އަޅާ އިބަ ﷲ ގެ ރުހިވޮޑިގަތުމުގެ ސިފަފުޅު މެދުވެރިކޮށް، އިބަ ﷲ ގެ ކޯފާއިން ރައްކާތެރިކޮށްދެއްވުމަށް އެދިދަންނަވަމެވެ. އަދި އިބަ ﷲ ގެ އަފޫކުރެއްވުގެ ސިފަފުޅު މެދުވެރިކޮށް، އިބަ ﷲ ގެ އުގޫބާތުން ރައްކާތެރިކޮށްދެއްވުމަށް އެދިދަންނަވަމެވެ. އަދި އިބަ ﷲ ގެ ހަޒްރަތުންވާ ނުރުހުމަކުން ނުވަތަ އަޒާބުން ރައްކާތެރިކޮށްދެއްވުމަށް އެދި އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ. އިބަ ﷲ އަށް ދަންނަވަންޖެހޭ ތައުރީފާއި ސަނާ މި އަޅާއަށް އަދަދުނުކުރެވޭހައި ގިނައެވެ. އިބަ ﷲ އީ އިބަ ﷲ ގެ އަމިއްލަ ޒާތުފުޅަށް ސަނާ ވަހީކުރެއްވި ފަދައިން ސަނާ ލިބިވޮޑިންގެވާ އިލާހެވެ.,,,𝟣𝟫 While prostrating,"O Allah, I seek protection in Your pleasure from Your anger, and I seek protection in Your forgiveness from Your punishment. I seek protection in You from You. I cannot count Your praises. You are as You have praised Yourself."
48,٢٠ - دُعَاءُ الْجلْسَةِ بَيْنَ السَّجْدَتَيْنِ,٤٨ - رَبِّ اغْفِرْ لِي، رَبِّ اغْفِرْ لِي,𝟤𝟢 - ދެ ސަޖިދަ ދެމެދު ކިޔާ ދުއާ,އަޅުގެ ރައްބެވެ! މި އަޅާއަށް ފާފަފުއްސަވާނދޭވެ! އަޅުގެ ރައްބެވެ! މި އަޅާއަށް ފާފަފުއްސަވާނދޭވެ!,,,𝟤𝟢 Between the two prostrations,"Lord, forgive me. My Lord, forgive me."
49,٢٠ - دُعَاءُ الْجلْسَةِ بَيْنَ السَّجْدَتَيْنِ,٤٩ - اللَّهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَاهْدِنِي، وَاجْبُرْنِي، وَعَافِنِي، وَارْزُقْنِي، وَارْفَعْنِي,𝟤𝟢 - ދެ ސަޖިދަ ދެމެދު ކިޔާ ދުއާ,ޔާ ﷲ! މި އަޅާއަށް ފާފަފުއްސަވާނދޭވެ! އަދި މި އަޅާއަށް ރަހްމަތް ލައްވާނދޭވެ. އަދި މި އަޅާއަށް ހިދާޔަތް ދައްކަވާނދޭވެ! އަދި މި އަޅާގެ އުނިކަންތައް ފޫބައްދަވާނދޭވެ! އަދި މި އަޅާއަށް ފުރިހަމަ އާފިޔަތް ދެއްވާނދޭވެ. އަދި މި އަޅާއަށް ރިޒްގުދެއްވާނދޭވެ. އަދި މި އަޅާ މަތިވެރިކުރައްވާނދޭވެ.,,,𝟤𝟢 Between the two prostrations,"O Allah forgive me, have mercy on me, guide me, support me, protect me, provide for me, and elevate me."
50,٢١ - دُعَاءُ سُجُودِ التِّلاَوَةِ,٥٠ - سَجَدَ وَجْهِيَ لِلَّذِي خَلَقَهُ، وَشَقَّ سَمْعَهُ وَبَصَرَهُ بِحَوْلِهِ وَقُوَّتِهِ، {فَتَبارَكَ اللَّهُ أَحْسَنُ الْخَالِقِينَ},𝟤𝟣 - ތިލާވަތުގެ ސަޖިދައިގާ ކިޔާ ދުއާ,އެފަރާތެއްގެ ކުޅަދުންވަންތަކަމާއި، ބާރުފުޅުން މި އަޅާގެ މޫނު ހައްދަވައި، އެމޫނުގެ އިވުމާއި ފެނުން ހާމަކުރެއްވި ފަރާތަށް މި އަޅާގެ މޫނު ސަޖިދަކޮށްފިއެވެ. ފަހެ ﷲ ގެ މަތިވެރިކަމާއެވެ! އެއީ އެންމެ ރިވެތިކޮށް ހައްދަވައި ޚަލްގު ކުރައްވާ ފަރާތެވެ.,,,𝟤𝟣 When prostrating due to recitation of the Quran,"I have prostrated my face to the One Who created it, and gave it hearing and sight by His might and His power. Glory is to Allah, the Best of creators."
51,٢١ - دُعَاءُ سُجُودِ التِّلاَوَةِ,٥١ - اللَّهُمَّ اكْتُبْ لِي بِهَا عِنْدَكَ أَجْراً، وَضَعْ عَنِّي بِهَا وِزْراً، وَاجْعَلْهَا لِي عِنْدَكَ ذُخْراً، وَتَقَبَّلْهَا مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ,𝟤𝟣 - ތިލާވަތުގެ ސަޖިދައިގާ ކިޔާ ދުއާ,ޔާ ﷲ! މި އަޅާއަށް މިސަޖިދައިގެ ސަބަބުން އިބަ ﷲ ގެ ހަޒްރަތުގައި އަޖުރެއް ލިޔުއްވާނދޭވެ! އަދި މިސަޖިދައިގެ ސަބަބުން މި އަޅާގެ ކިބައިން ފާފައެއް ފުއްސަވާނދޭވެ! އަދި އިބަ ﷲ ގެ ހަޒްރަތުގައި، މި އަޅާއަށްޓަކައި ފަހަށް ރައްކާކުރެވިފައިވާ ހެޔޮ އަމަލެއްކަމުގައި މިސަޖިދަ ލައްވާނދޭވެ! އަދި އިބަ ﷲ ގެ އަޅާ ކަމުގައިވާ ދާވޫދުގެފާނުގެ ކިބައިން މިސަޖިދަ ގަބޫލުކުރެއްވިފަދައިން މި އަޅާގެ ކިބައިންވެސް މިސަޖިދަ ގަބޫލުކުރައްވާނދޭވެ.,,,𝟤𝟣 When prostrating due to recitation of the Quran,"O Allah, write it as a reward for me, and release me from a burden for it, and make it a treasure for me with You. Accept it from me as You accepted it from your servant Dawud."
52,٢٢ - التَّشَهُّدُ,٥٢ - التَّحِيَّاتُ لِلَّهِ، وَالصَّلَواتُ، وَالطَّيِّباتُ، السَّلاَمُ عَلَيْكَ أَيُّهَا النَّبِيُّ وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ، السَّلاَمُ عَلَيْنَا وَعَلَى عِبَادِ اللَّهِ الصَّالِحِينَ. أَشْهَدُ أَنْ لَا إِلَهَ إِلاَّ اللَّهُ وَأَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَرَسولُهُ,𝟤𝟤 - ތަޝައްހުދު (ތަހިއްޔާތު) ގައި ކިޔާ ދުއާ,ދުލުންކުރެވޭ އެންމެހާ އަޅުކަންތަކާއި، ހަށިގަނޑުން ކުރެވޭ އެންމެހާ އަޅުކަންތަކާއި އަދި މުދަލުންކުރެވޭ އެންމެހާ އަޅުކަންތައް މިލްކުވެ ވޮޑިގެންވަނީ ﷲ އަށެވެ. އޭ ނަބިއްޔާއެވެ! އިބަ ނަބިއްޔާއަށް ސަލާމާއި، ﷲ ގެ ރަހުމަތާއި، ބަރަކާތްހުއްޓެވެ. އަދި އަޅަމެންނަށާއި ﷲ ގެ އެންމެހާ ސާލިހު އަޅުންނަށް ސަލާމްހުއްޓެވެ. ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކު ނުވާކަމަށް މި އަޅާ ހެކިވަމެވެ. އަދި މުޙައްމަދުގެފާނީ އެ އިލާހުގެ އަޅާކަމަށާއި އެ އިލާހުގެ ރަސޫލާކަމަށްވެސް މި އަޅާ ހެކިވަމެވެ.,,,𝟤𝟤 The Tashahhud,"All greetings of humility are for Allah, and all prayers and goodness. Peace be upon you, O Prophet, and the mercy of Allah and His blessings. Peace be upon us and upon the righteous slaves of Allah. I bear witness that there is none worthy of worship but Allah, and I bear witness that Muhammad is His slave and His Messenger."
53,٢٣ - الصَّلاةُ عَلَى النَّبيِّ ﷺ بَعْدَ التَّشَهُّدِ,٥٣ - اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ، وَعَلَى آلِ مُحَمَّدٍ، كَمَا صَلَّيتَ عَلَى إِبْرَاهِيمَ، وَعَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ، اللَّهُمَّ بَارِكْ عَلَى مُحَمَّدٍ وَعَلَى آلِ مُحَمَّدٍ، كَمَا بَارَكْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ,𝟤𝟥 - ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު ނަބިއްޔާ ﷺ ގެ މައްޗަށް ޞަލަވާތް ކިޔެވުން,ޔާ ﷲ! މުޙައްމަދުގެފާނުގެ މައްޗަށާއި، މުޙައްމަދުގެފާނުގެ އާލުންގެ މައްޗަށް ޞަލަވާތް ލައްވާށިއެވެ. އެއީ އިބްރާހީމުގެފާނުގެ މައްޗަށާއި، އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް އިބަ އިލާހު ޞަލަވާތް ލެއްވި ފަދައިންނެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ، ގިނަގިނައިން ހަމްދު ކުރެވިގެންވާ، މަތިވެރި މާތްވެގެންވާ އިލާހެވެ. ޔާ ﷲ! މުޙައްމަދުގެފާނުގެ މައްޗަށާއި، މުޙައްމަދުގެފާނުގެ އާލުންގެ މައްޗަށް ބަރަކާތް ލައްވާށިއެވެ. އެއީ އިބްރާހީމުގެފާނުގެ މައްޗަށާއި، އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް އިބަ އިލާހު ބަރަކާތް ލެއްވި ފަދައިންނެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ، ގިނަގިނައިން ހަމްދު ކުރެވިގެންވާ، މަތިވެރި މާތްވެގެންވާ އިލާހެވެ.,,,𝟤𝟥 Prayers upon the Prophet ﷺ after the tashahhud,"O Allah, bestow Your favor on Muhammad and on the family of Muhammad as You have bestowed Your favor on Ibrahim and on the family of Ibrahim, You are Praiseworthy, Most Glorious. O Allah, bless Muhammad and the family of Muhammad as You have blessed Ibrahim and the family of Ibrahim, You are Praiseworthy, Most Glorious."
54,٢٣ - الصَّلاةُ عَلَى النَّبيِّ ﷺ بَعْدَ التَّشَهُّدِ,٥٤ - اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَعَلَى أَزْوَاجِهِ وَذُرِّيَّتِهِ، كَمَا صَلَّيْتَ عَلَى آلِ إِبْرَاهِيمَ. وَبَارِكْ عَلَى مُحَمَّدٍ وَعَلَى أَزْواجِهِ وَذُرِّيَّتِهِ، كَمَا بَارَكْتَ عَلَى آلِ إِبْرَاهِيمَ. إِنَّكَ حَمِيدٌ مَجِيدٌ,𝟤𝟥 - ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު ނަބިއްޔާ ﷺ އަށް ސަލަވާތް ކިޔެވުން,ޔާ ﷲ! އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް އިބަ ﷲ ސަލަވާތްލެއްވި ފަދައިން މުޙައްމަދުގެފާނާއި، އެކަލޭގެފާނުގެ އަނބިއަނބި ކަނބަލުންނާއި، އަދި އެކަލޭގެފާނުގެ ދަރިފަސްކޮޅުގެ މައްޗަށްވެސް ސަލަވާތްލައްވާނދޭވެ! އަދި އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް އިބަ ﷲ ބަރަކާތްލެއްވި ފަދައިން މުޙައްމަދުގެފާނާއި، އެކަލޭގެފާނުގެ އަނބިއަނބި ކަނބަލުންނާއި އަދި އެކަލޭގެފާނުގެ ދަރިފަސްކޮޅުގެ މައްޗަށްވެސް ބަރަކާތްލައްވާނދޭވެ! ހަމަކަށަވަރުން އިބަ ﷲ އީ އެންމެހާ ހަމްދަކާއި އެންމެހާ މާތްކަމެއް ލިބިވޮޑިގެންވާ އިލާހެވެ.,,,𝟤𝟥 Prayers upon the Prophet ﷺ after the tashahhud,"O Allah, bestow Your favor on Muhammad and upon his wives and progeny as You have bestowed Your favor upon the family of Ibrahim. And bless Muhammad and his wives and progeny as You have blessed the family of Ibrahim, You are full of praise, Most Glorious."
55,٢٤ - الدُّعَاءُ بَعْدَ التَّشَهُّدِ الأَخِيرِ قَبْلَ السَّلاَمِ,٥٥ - اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَمِنْ عَذَابِ جَهَنَّمَ، وَمِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ,𝟤𝟦 - ފަހު ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު، ސަލާމް ދިނުމުގެ ކުރިން ކިޔާ ދުއާ,ޔާ ﷲ! ކަށްވަޅުގެ އަޒާބުންނާއި ނަރަކައިގެ އަޒާބުން ރައްކާތެރިކޮށްދެއްވުމަށް އެދި ހަމަށަވަރުން މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ. އަދި ދިރިހުރުމާއި މަރުވުމުގެ ފިތުނައިން ރައްކައުތެރި ކޮށްދެއްވުމަށްވެސް އެދި ދަންނަވަމެވެ. އަދި މަސީޙުއް ދައްޖާލުގެ ފިތުނައިގެ ނުބައިކަމުން ރައްކައުތެރި ކޮށްދެއްވުމަށްވެސް އެދި ދަންނަވަމެވެ.,,,𝟤𝟦 After the last tashahhud and before salam,"O Allah, I seek refuge in You from the punishment of the grave, and from the punishment of Hell-fire, and from the trials of life and death, and from the evil of the trial of the False Messiah."
56,٢٤ - الدُّعَاءُ بَعْدَ التَّشَهُّدِ الأَخِيرِ قَبْلَ السَّلاَمِ,٥٦ - اللَّهُمَّ إِنِّي أَعوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَأَعوذُ بِكَ مِنْ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ، وَأَعوذُ بِكَ مِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ. اللَّهُمَّ إِنِّي أَعوذُ بِكَ مِنَ الْمَأْثَمِ وَالْمَغْرَمِ,𝟤𝟦 - ފަހު ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު، ސަލާމް ދިނުމުގެ ކުރިން ކިޔާ ދުއާ,ޔާ ﷲ! ކަށްވަޅުގެ އަޒާބުން ރައްކައުތެރިކޮށްދެއްވުމަށް އެދި ހަމަކަށަވަރުން މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ. އަދި މަސީޙުއް ދައްޖާލުގެ ފިތުނައިން ރައްކައުތެރި ކޮށްދެވުމަށްވެސް އެދި އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ. އަދި ދިރިއުޅުމާއި މަރުވުމުގެ ފިތުނައިން ރައްކައުތެރިކޮށްދެއްވުމަށްވެސް އެދި އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ. އަދި ފާފަކުރުމުންނާއި ދަރަނިވެރިވުމުން ރައްކައުތެރި ކޮށްދެއްވުމަށްވެސް އެދި އިބަ ﷲ ގެ ހަޒްރަތަށް ދަންނަވަމެވެ.,,,𝟤𝟦 After the last tashahhud and before salam,"O Allah, I seek refuge in You from the punishment of the grave, and I seek refuge in You from the trial of the False Messiah, and I seek refuge in You from the trials of life and death. O Allah, I seek refuge in You from sin and from debt."
57,٢٤ - الدُّعَاءُ بَعْدَ التَّشَهُّدِ الأَخِيرِ قَبْلَ السَّلاَمِ,٥٧ - اللَّهُمَّ إِنِّي ظَلَمْتُ نَفْسِي ظُلْماً كَثِيراً، وَلَا يَغْفِرُ الذُّنوبَ إِلاَّ أَنْتَ، فَاغْفِرْ لِي مَغْفِرَةً مِنْ عِنْدِكَ وَارْحَمْنِي، إِنَّكَ أَنْتَ الغَفورُ الرَّحيمُ,𝟤𝟦 - ފަހު ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު، ސަލާމް ދިނުމުގެ ކުރިން ކިޔާ ދުއާ,ޔާ ﷲ! ހަމަކަށަވަރުން މި އަޅާ، މި އަޅާގެ އަމިއްލަ ނަފްސަށް ގިނަވެގެންވާ އަނިޔާވެރިވުމަކުން އަނިޔާވެރިވީމެވެ. އަދި އިބަ ﷲ ފިޔަވައި ފާފަ ފުއްސަވާނެ އެހެންއެއްވެސް ފަރާތެއް ނުވެއެވެ. ފަހެ އިބަ ﷲ ގެ ހަޒްރަތުންވާ ފާފަފުއްސެވުމަކުން މި އަޅާއަށް ފާފަފުއްސަވާނދޭވެ! އަދި މި އަޅާއަށް އޯގާވެރިވެ ވޮޑިގަންނަވާނދޭވެ! ހަމަކަށަވަރުން އިބަ ﷲ އީ ފާފަފުއްސަވާ އޯގާވަންތަ އިލާހެވެ.,,,𝟤𝟦 After the last tashahhud and before salam,"O Allah, I have greatly wronged myself, and no one forgives sins but You. So, grant me forgiveness and have mercy on me. Surely, you are Forgiving, Merciful."
58,٢٤ - الدُّعَاءُ بَعْدَ التَّشَهُّدِ الأَخِيرِ قَبْلَ السَّلاَمِ,٥٨ - اللَّهُمَّ اغْفِرْ لِي مَا قَدَّمْتُ، وَمَا أَخَّرْتُ، وَمَا أَسْرَرْتُ، وَمَا أَعْلَنْتُ، وَمَا أَسْرَفْتُ، وَمَا أَنْتَ أَعْلَمُ بِهِ مِنِّي. أَنْتَ الْمُقَدِّمُ، وَأَنْتَ الْمُؤَخِّرُ لَا إِلَهَ إِلاَّ أَنْتَ,𝟤𝟦 - ފަހު ތަޝައްހުދު (ތަހިއްޔާތު) އަށް ފަހު، ސަލާމް ދިނުމުގެ ކުރިން ކިޔާ ދުއާ,ޔާ ﷲ! މި އަޅާއަށް މި އަޅާގެ އިސްވެދިޔަހައި ފާފައަކާއި ފަސްވެކުރިހައި ފާފައެއް ފުއްސަވާނދޭވެ! އަދި މި އަޅާ ސިއްރުން ކުރިހައި ފާފައަކާއި ފާޅުގައި ކުރިހައި ފާފައެއް ފުއްސަވާނދޭވެ! އަދި މި އަޅާ ހައްދުފަހަނަޅާ ވަރަށް ކޮށްފައިވާ ފާފަވެސް މި އަޅާއަށް ފުއްސަވާނދޭވެ! އަދި އެއީ ފާފައެއްކަން މި އަޅާއަށްވުރެ ބޮޑަށް އިބަ ﷲ ދެނެވޮޑިގަންނަވާ ފާފަވެސް މި އަޅާއަށް ފުއްސަވާނދޭވެ! (ހެޔޮކަންތަކުގައި މީސްތަކުން) އިސްކުރައްވާ ފަރާތަކީ އިބަ ﷲ އެވެ. އަދި ފަސްކުރައްވާ ފަރާތަކީވެސް އިބަ ﷲ އެވެ. އިބަ ﷲ ފިޔަވައި އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ.,,,𝟤𝟦 After the last tashahhud and before salam,"O Allah, forgive me what I have sent before me and what I have left behind me, what I have concealed and what I have done openly, what I have done in excess, and what You are better aware of than I. You are the One Who sends forth and You are the One Who delays. There is none worthy of worship but You."
