translation,thafseer,title,note
ހަމަކަށަވަރުން، ތަދުމަޑު އަހަރުތަކާއި، މޭވާތަކުގެ އުނިކަން މެދުވެރިކުރައްވައި، ތިމަންރަސްކަލާނގެ فرعون ގެ މީހުން ހިއްޕެވީމެވެ. (އެއީ) އެއުރެން ހަނދުމަކުރުމަށްޓަކައެވެ. (130),ހަމަކަށަވަރުން ތިމަންރަސްކަލާނގެ ތަދުމަޑުކަމާއި ހަނަފަސްކަން މެދުވެރިކުރައްވައި ފިރްޢައުނާއި އޭނާއަށް ތަބަޢަވީ މީހުން ހިއްޕެވީމެވެ. ﴿السِّنِينَ﴾ (އަހަރުތައް) އިން އިޝާރާތްކުރައްވަނީ އެކަމަށެވެ. އަދި ތަދުމަޑުކަން އިތުރުކުރެއްވުމަށް ބަލިތައް ގިނަކުރައްވައި މޭވާތައް ގެންދަވައިގެން އެބައިމީހުންނަށް މުޞީބާތް ޖެއްސެވީމެވެ. އެބައިމީހުންނަށް އެކަން ދިމާވަނީ އެބައިމީހުންގެ ކާފިރުކަމާއި އުރެދުމުގެ ސުންޕާކަމުން ކަން އެބައިމީހުންނަށް ވިސްނި، ނަސޭހަތް ލިބިގަނެ، އެބައިމީހުން ތިބި ޙައްދުފަހަނައަޅައި ދިއުމާއި، އަނިޔާވެރިކަމާއި، ފަސާދައިގެ ގޮތްތައް ދޫކޮށްލާތޯއެވެ. އެހެނީ ދަތިވުމުން ހިތްތައް މަޑުވެ، ބިރުވެތިވެ، ތައުބާ ވެއެވެ. އެހެނަސް، އަބާއްޖަވެރިންނަށް ޢަޛާބުގެ ގަދަފަދަ އަޑުފައްގަނޑުން ނޫނީ ފައިދާއެއް ނުކުރެއެވެ. އެހެންކަމުން މާތް ﷲ ބަޔާންކުރައްވަނީ އިމްތިހާނުތަކާއި، ދަތި އުނދަގޫތައް ކުރިމަތިވުމުން ވެސް ނުކިޔަމަންތެރިކަމާއި، ކާފިރުކަން މެނުވީ އެބައިމީހުން އިތުރު ނުކުރި ކަމުގައެވެ.,,
ފަހެ، އެއުރެންނާ ހަމަޔަށް ހެޔޮގޮތް އަތުވެއްޖެނަމަ، މިއީ ތިމަންމެންނަށް އޮތްކަމެކޭ އެއުރެން ބުނެތެވެ. އަދި އެއުރެންނަށް ނުބައިކަމެއް ޖެހިއްޖެނަމަ، موسى ގެފާނާއި، އެކަލޭގެފާނުގެ އަރިހުގައިވާ މީހުންގެ ސުންޕާކަމުން ޖެހުނުކަމެއްކަމުގައި އެއުރެން ހަދަތެވެ. ދަންނާށެވެ! އެއުރެންނަށް ސުންޕާގޮތް މެދުވެރިވުންވަނީ، اللَّه ގެ حضرة ގައެވެ. އެހެނެއްކަމަކު، އެއުރެންކުރެ ގިނަމީހުންނަކަށް ނޭނގެއެވެ. (131),އެބައިމީހުންނަށް ބިމުގެ އާރޯކަމާއި ތިޔާގިކަން އަތުވެއްޖެނަމަ އެބައިމީހުން ބުނެއެވެ. މިއީ އަހަރުމެންނަށް އޮތް ކަމެކެވެ. މިކަމުގެ ޙައްޤުވެރިންނަކީ އަހަރުމެންނެވެ. އެއީ، މާތް ﷲގެ ފަޟްލުވަންތަކަމުން އެބައިމީހުންނަށް ލިބުނު ކަމެއް ކަމުގައި އެބައިމީހުން ނުދެކެއެވެ. އެބައިމީހުންނަށް ހަނަފަސްކަމާއި، މުޞީބާތް ކުރިމަތިވެއްޖެނަމަ އެބައިމީހުން މޫސާ عليه السلام އާއި އެކަލޭފާނުގެ އަރިހުގައި ތިބި މުއުމިނުންގެ ސުންޕާކަމާ އެކަމާ ގުޅުވައެވެ. އަދި ބުނެއެވެ. އަހަރުމެންނަށް މިކަން ޖެހުނީ އެބައިމީހުންގެ ސުންޕާކަން ނޫން އެހެން ކަމެއްގެ ސަބަބުންނޫނެވެ. އެބައިމީހުންނަށް ރައްދުދެއްވަމުން މާތް ﷲ ވަޙީކުރެއްވިއެވެ. ﴿أَلَا إِنَّمَا طَائِرُهُمْ عِندَ اللَّهِ﴾ ހަމަކަށަވަރުން އެބައިމީހުންނަށް ސުންޕާ ގޮތް މެދުވެރިވީ މާތް ﷲގެ ޙަޟްރަތުންނެވެ. އެހެނެއްކަމަކު، އެބައިމީހުންކުރެ ގިނަ މީހުންނަށް މާތް ﷲގެ ޙިކްމަތްތެރިކަމާއި، އެކަލާނގެ ތަދްބީރުކުރެއްވުން ނޭނގެއެވެ.,,
އެއުރެން ދެންނެވޫއެވެ. ތިމަންމެން، އޭގެ ޖާދޫގައި ޖެއްސެވުމަށްޓަކައި آية ތަކުގެ ތެރެއިން ކޮންމެފަދަ آية އެއް ކަލޭގެފާނު ތިމަންމެންނަށް ގެނެސްދެއްވި ކަމުގައިވިޔަސް، ކަލޭގެފާނަށް إيمان ވާ ބަޔަކު ކަމުގައި ތިމަންމެން ނުވާހުށީމުއެވެ. (132),"ޙައިރާންކުރަނިވި މުޢުޖިޒާތްތައް ފެނުމަށް ފަހު ފިރްޢައުނުގެ ޤައުމުގެ މީހުން މޫސާ عليه السلام އަށް ދެންނެވިއެވެ. އަހަރުމެންގެ ލޯތަކަށް ޖާދޫ ޖައްސަވަން ކަލޭގެފާނު ކޮންމެ ފަދަ މުޢުޖިޒާތެއް ގެންނެވި ކަމުގައި ވިޔަސް ކަލޭގެފާނުގެ ރަސޫލުކަމަށް އަހަރުމެން އީމާންނުވާނަމެވެ. މޫސާ عليه السلام ގެންނެވި އާދަޔާއި ޚިލާފު ކަންތަކަށް އެބައިމީހުން މުޢުޖިޒާތޭ ބުނީ މަލާމާތްކޮށް ޖެއްސުންކުރުމުގެ ގޮތުންނެވެ. އެއަށް އީމާންވެގެންނެއް ނޫނެވެ. އަދި އެ މުޢުޖިޒާތް އެއީ ސިހުރުކަމުގައި އެބައިމީހުން ހެދީ ގޮތްދޫނުކުރުމާއި މަގުފުރެދުމުގެ ގޮތުންނެވެ.
އެބައިމީހުންގެ ކަންތަކުގެ ނިމުން އައި ގޮތް ބަޔާންކުރައްވަމުން މާތް ﷲ ވަޙީކުރައްވަނީ",,
ދެން ކަނޑައެޅި، ބަޔާންވެގެންހުރި آية ތަކެއް ކަމުގައި (ފެންބޮޑުވުމުގެ) طوفان އާއި، ގޮއްފުޅަންގާއި، އުކުނާއި، ބޮކާއި، ލޭ، ތިމަންރަސްކަލާނގެ އެއުރެންގެ މައްޗަށް ފޮނުއްވީމެވެ. ދެންވެސް އެއުރެން ބޮޑާވެގަތޫއެވެ. އަދި އެއުރެން ކުށްވެރި ބަޔަކު ކަމުގައިވިއެވެ. (133),އެބައިމީހުންގެ ޖަރީމާތަކަށްޓަކައި އެބައިމީހުންނަށް ޢުޤޫބާތް ދެއްވުމުގެ ގޮތުން ތިމަންރަސްކަލާނގެ އެބައިމީހުންގެ މައްޗަށް އެބައިމީހުންގެ ގޮވާން ދަނޑުތަކާއި، މޭވާ ބަގީޗާތައް ސުންނާފަތި ކޮށްލި ޠޫފާނެއް ފޮނުއްވީމެވެ. އަދި ބާކީ ހުރި ގަސްތައް ކައި ހޮސްކޮށްލި ގޮއްފުޅަންގާއި، އެބައިމީހުން އެއްކޮށްފައި ހުރި އޮށްޓަރު ހަލާކުކޮށްލި އުކުނާއި، އެބައިމީހުންގެ ގެތަކާއި ކާބޯތަކެތި ފުރާލި ބޮއް ފޮނުއްވީމެވެ. ބޮއްތައް މެހިފަދައިން އެބައިމީހުންގެ ގެތަކަށް ވަންނަ ކަމުގައި ވިއެވެ. އެބައިމީހުން ކާން އިށީނުމުން ބޮއްތައް އެބައިމީހުންގެ އަނގަޔާ ދިމާއަށް ފުންމައިގެން ދެއެވެ. އަދި ލޭ ފޮނުއްވުމުން އެބައިމީހުން ބޭނުންކުރާ ހުރިހާ ފެނެއް ލެއަށް ބަދަލުވެގެން ދިޔައެވެ. އެބައިމީހުން ވަޅަކުން އަދި ކޯރަކުން ފެން ނެގިއަސް އެބައިމީހުންނަށް ނެގެނީ ތާޒާ ރަތް ލެއެވެ. މި ތަކެތި ފޮނުއްވީ މާތް ﷲ އެބައިމީހުންގެ މައްޗަށް ކޯފާވެވޮޑިގެންވާކަން ދައްކައިދޭ ސާފު ފާޅުކަން ބޮޑު ދަލީލުތަކެއްގެ ގޮތުގައެވެ. މިއާއެކުވެސް، އެބައިމީހުން ރަޙްމާނުވަންތަ ރަސްކަލާނގެއަށް ކިޔަމަންވުމަށާއި، އީމާންވުމަށް ދެކޮޅު ހަދައި ބޮޑާވެގަތީއެވެ. އެހެންކަމުން އާޔަތް ނިންމަވާލައްވަމުން މާތް ﷲ ވަޙީކުރައްވަނީ ﴿فَاسْتَكْبَرُوا وَكَانُوا قَوْمًا مُّجْرِمِينَ ﴾ މާނައީ މާތް ﷲ އާއި އެކަލާނގެ ރަސޫލާ عليه السلام އަށް އީމާންނުވެ އެބައިމީހުން ބޮޑާވެގަތެވެ. މަގުފުރެދުމާއި ޖަރީމާތަކުގައި އެބައިމީހުން ޙައްދު ފަހަނައަޅައި ގޮސްފައި ވާތީއެވެ.,,
އެއުރެންގެ މައްޗަށް މި عذاب އައިސްޖެހުނުހިނދު އެއުރެން ދެންނެވިއެވެ. އޭ موسى ގެފާނެވެ! ކަލޭގެފާނުގެ ވެރިރަސްކަލާނގެ حضرة އަށް ތިމަންމެންނަށްޓަކައި، دعاء ކޮށްދެއްވާށެވެ. ކަލޭގެފާނަށް އެކަލާނގެ عهد ކުރައްވައި އަންގަވާފައިވާ ގޮތުގެމަތިންނެވެ. ހަމަކަށަވަރުން، ތިމަންމެންގެ ކިބައިން މި عذاب ފިއްލަވައިފިނަމަ، ހަމަކަށަވަރުން، ކަލޭގެފާނަށް ތިމަންމެން إيمان ވާހުށީމެވެ. އަދި ކަލޭގެފާނުގެ އަރިހުގައި إسرآءيل ގެދަރިން ފޮނުވާހުށީމެވެ. (134),އެބައިމީހުން ނިކަމެތިކޮށްލި ޢަޛާބު އެބައިމީހުންނަށް އައުމުން، އެކަމުން ސަލާމަތްކޮށްދޭއްވާތޯ މޫސާ عليه السلام ގެ އަރިހުގައި އާދޭސް ދެންނެވިއެވެ. އަދި ބުންޏެވެ. ކަލޭގެފާނަށް ނަބީކަން ދެއްވައި މާތްކުރެއްވުމުގެ ޙައްޤަށްޓަކައި އަހަރުމެންނަށް މިދިމާވެފައިވާ މުޞީބާތުން އަހަރުމެން ސަލާމަތްކޮށްދެއްވާތޯ ކަލޭގެފާނުގެ ވެރިރަސްކަލާނގެ ޙަޟްރަތުގައި ދަންނަވައިދެއްވާށެވެ. އަދި އެބައިމީހުންގެ ވަޢުދު ގަދަކުރަމުން ބުންޏެވެ. މާތް ﷲ ގަންދީ ބުނަމެވެ. ކަލޭގެފާނު އަހަރުމެންގެ ކިބައިން މިޢަޛާބު ދުރުކޮށްދެއްވައިފިނަމަ، އަހަރުމެން ކަލޭގެފާނުގެ ރަސޫލުކަން ޤަބޫލުކުރާހުށީމެވެ. އަދި ކަލޭގެފާނަށް ތަބަޢަވީ ބަނީއިސްރާއީލުގެ މީހުން ކަލޭގެފާނާއެކު ފޮނުވާހުށީމެވެ. ދެން މޫސާ عليه السلام އެކަލޭގެފާނުގެ ވެރިރަސްކަލާނގެ އަށް ދުޢާ ދެންނެވުމުން އެކަލާނގެ އެބައިމީހުންގެ ކިބައިން ޢަޛާބު ދުރުކޮށްދެއްވިއެވެ. އެއަށްފަހު، އެބައިމީހުން ވީ ޢަހުދު އެބައިމީހުން އުވާލިއެވެ. މާތް ﷲ ވަޙީކުރައްވަނީ,,
ފަހެ، ތިމަންރަސްކަލާނގެ އެއުރެންގެ ކިބައިން އެ މުއްދަތެއް ހަމަވަނިވި މުއްދަތަކަށް، އެ عذاب ފިއްލެވިހިނދު، އެހާރުން عهد އުވާލާ ބަޔަކު ކަމުގައި އެއުރެން ވޫއެވެ. (135),ދެން މޫސާ عليه السلام ގެ ދުޢާއަށް ފަހު ތިމަންރަސްކަލާނގެ އެބައިމީހުން ހަމަ ޔަޤީނުންވެސް އެވަގުތަކާ ހަމައަށް ދާނެ ވަގުތު އައިސް ޖެހެންދެން (އެއީ އެބައިމީހުން ކަނޑަށް ޣަރަޤު ކުރައްވާ ވަގުތެވެ.) އެބައިމީހުންގެ މުޞީބާތް ދުރުކުރެއްވުމުން އެބައިމީހުން ވީ ވަޢުދު އުވާލާ ބަކަޔު ކަމުގައެވެ. އަދި ކާފިރުކަން މަތީ ގޮތް ދޫނުކޮށް ތިބޭ ބަޔަކަށެވެ.,,
ދެން ތިމަންރަސްކަލާނގެ އެއުރެންގެ ކިބައިން ބަދަލު ހިއްޕެވީމެވެ. އަދި ކަނޑުގެ ތެރެޔަށް އެއުރެން غرق ކުރެއްވީމެވެ. އެއީ ތިމަންރަސްކަލާނގެ آية ތައް އެއުރެން ދޮގުކޮށް، އެ آية ތަކާމެދު غافل ވީ ބަޔަކު ކަމުގައި ވީކަމަށްޓަކައެވެ. (136),ފަހެ، އެބައިމީހުންގެ ޖަރީމާތަކުގެ ސަބަބުންނާއި، އެބައިމީހުން މާތް ﷲގެ އާޔަތްތައް ދޮގުކޮށް އެއަށް ފުރަގަސްދީ، މޫސާ عليه السلام ގެ ދަޢުވަތު ޤަބޫލުނުކުރީތީ ތިމަންރަސްކަލާނގެ އެބައިމީހުންގެ ކިބައިން ބަދަލު ހިއްޕަވައި، އެބައިމީހުން ކަނޑަށް ޣަރަޤުކުރެއްވީމެވެ. އެހެންކަމުން، އެބައިމީހުން އެންމެން ޣަރަޤުވެ ނެތި ދިޔައީއެވެ.,,
ނިކަމެތިކޮށް ހިތެމުންދިޔަ قوم ގެމީހުންނަށް، ބިމުގެ އިރުމައްޗާއި، އެ ބިމުގެ ހުޅަނގު، ތިމަންރަސްކަލާނގެ ވާރުތަކޮށްދެއްވީމެވެ. އެއީ ތިމަންރަސްކަލާނގެ އެތަންތާނގައި بركات ލައްވާފައިވާ ތަންތަނެވެ. އަދި ކަލޭގެފާނުގެ ވެރިރަސްކަލާނގެ إسرآءيل ގެދަރިންނަށް ދެއްވާފައިވާ (وعد ގެ) ހެޔޮބަސްފުޅު، އެއުރެން ކެތްތެރިވުމުގެ ސަބަބުން ފުރިހަމަވެގެންދިޔައެވެ. އަދި ތިމަންރަސްކަލާނގެ، فرعون އާއި، އޭނާގެ قوم ގެމީހުން ހަދަމުންގެންދިޔަ ތަކެއްޗާއި، އެއުރެން ބިނާކުރަމުންގެންދިޔަ عمارات ތައް ހަލާކުކުރައްވައި، ނެތިކުރެއްވީމެވެ. (137),އަދި ފިރްޢައުނު އަބައިމީހުން އަޅުވެތިކޮށް ނިކަމެތިކުރަމުން ދިޔަ ބަނީއިސްރާއީލަށް ތިމަންރަސްކަލާނގެ ޝާމުކަރައިގެ ބިން ވާރުތަކޮށްދެއްވީމެވެ. އަދި އެބިމުގެ ހުރިހާ ފަރާތަކާއި، ސަރަޙައްދުތައް އެބައިމީހުންނަށް މިލްކުކޮށްދެއްވީމެވެ. އަދި މޫސާ عليه السلام ފިރްޢައުނުގެ ގާތުން އެބިމަކަށް ބަނީއިސްރާއީލު މީހުން ފޮނުވައިދިނުމަށް އެދިވަޑައިގަތް، ބިންގަނޑު ރަނގަޅުވުމާއި ރިޒްޤު ތަނަވަސްވުމާއި، އެބިމުގައި ނަބީބޭކަލުން ދިރިއުޅުއްވުގެ ބަރަކާތް ތިމަން ރަސްކަލާނގެ ލައްވަވާފައިވާ މުޤައްދަސް ބިން އެބައިމީހުންނަށް ދެއްވީމެވެ. މާތް ﷲގެ މަގުގައި އެބައިމީހުން އުނދަގުލާއި ވޭން އުފުލާފައިވާތީ، އެބައިމީހުންނަށް ބިމުގައި ވެރިކަން ދެއްވައި، ތިމަންރަސްކަލާނގެ އެބައިމީހުނަށް ވެވޮޑިގެންފައިވާ ތެދު ވަޢުދު ފުރިހަކޮށްދެއްވީމެވެ. އަދި ފިރްޢައުނާއި އޭނާގެ ޖަމާޢަތުގެ މީހުން ހަދާފައިވާ ބިނާތަކާއި ގަނޑުވަރުތަކާއި އެބައިމީހުންގެ ދަނޑުބިންތަކާއި މޭވާގެ ބަގީޗާތައް ހަލާކުކުރައްވައި ނެތިކުރެއްވީމެވެ. މާނައީ އެބައިމީހުންގެ ގެތައް ސުންނާފަތިކުރައްވައި، ދަނޑުތައް ހަލާކުރެއްވީމެވެ. މާތް ﷲގެ ބަސްފުޅު ﴿وَتَمَّتْ كَلِمَتُ رَبِّكَ ٱلْحُسْنَىٰ ﴾ ގެ މާނައަކީ އެކަލާނގެ މިވަޙީ ބަސްފުޅުގައި ވެވަޑައިގެންފައިވާ ވަޢުދެވެ. ﴿وَنُرِيدُ أَن نَّمُنَّ عَلَى ٱلَّذِينَ ٱسْتُضْعِفُوا۟ فِى ٱلْأَرْضِ وَنَجْعَلَهُمْ أَئِمَّةً وَنَجْعَلَهُمُ ٱلْوَٰرِثِينَ ﴾ (އަދި ތިމަންރަސްކަލާނގެ އިރާދަކުރައްވަނީ ބިންމަތީގައި ދެރަކުރެވި ނިކަމެތިކޮށްލެވުނު މީހުންނަށް ނިޢުމަތް ދެއްވައި، އެބައިމީހުން އިމާމުން ކަމުގައި ލައްވައި، އަދި ވެރިކަން ވާރުތަކުރާ މީހުން ކަމުގައި އެބައިމީހުން ލެއްވުމަށެވެ.) މިހާ ހިސާބުން ޖައްބާރު ފިރްޢައުނާއި އޭނާގެ ނުލަފާ ލަޝްކަރުގެ ވާހަކަ ނިމުނީއެވެ. ދެން ފެށެނީ މާތް ﷲ ބަނީ އިސްރާއީލަށް ދެއްވި ބޮޑެތި ނިޢުމަތްތަކާއި، ވަރުގަދަ މުޢުޖިޒާތްތަކާއި، އެބައިމީހުން ކުޅަ ނުބައި ކަންތަކުގެ ވާހަކައެވެ. ޔަހޫދީންގެ ފަރާތުން ރަސޫލާ ﷺ އަށް ފެނިވަޑައިގަތް ކަންތަކާމެދު އެކަލޭގެފާނުގެ ހިތްޕުޅުގައިވާ ނުތަނަވަސްކަން ފިލުވައިލެއްވުމަށެވެ. ފަހެ، އެބައިމީހުން މޫސާ عليه السلام އާމެދު ކަންތައް ކުރީ އެބައިމީހުންގެ ކާބަފައިން ރަސޫލުންނާމެދު ކަންތައް ކުރި ބީދައިންނެވެ. އެބައިމީހުންގެ ޠަބީޢަތަކީ ހެޔޮކަން ބަލައިނުގަނެ، ނުކިޔަމަންތެރިވެ، އުރެދުން ކަމުގައި ވާތީއެވެ. މާތް ﷲ ވަޙީކުރައްވަނީ,,
އަދި ކަނޑު ހުރަސްކުރައްވައި، ތިމަންރަސްކަލާނގެ إسرآءيل ގެދަރިން ގެންދެވީމެވެ. ދެން އެއުރެން قوم އެއްގެ މީހުންނާހަމަޔަށް އައޫއެވެ. އެއުރެންތިބީ، އެއުރެންގެ ބުދުތަކަށް އަޅުކަންކުރުން މަތީގައެވެ. އެއުރެން (އެބަހީ: إسرآءيل ގެދަރިން) ދެންނެވޫއެވެ. އޭ موسى ގެފާނެވެ! އެއުރެންނަށް إله ންތަކެއް ވާފަދައިން، ތިމަންމެންނަށްވެސް إله އެއް ލައްވައި ދެއްވާށެވެ! އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ހަމަކަށަވަރުން، ތިޔަބައިމީހުންނީ (حق ގޮތް) ނޭނގޭ ބަޔެކެވެ. (138),އަދި ތިމަންރަސްކަލާނގެ ބަނީއިސްރާއީލު ބާގައިގެ މީހުން ޣަރަޤުން ސަލާމަތްކުރައްވައި، އެބައިމީހުންނަށް ކަނޑު ހުރަސްކުރުމުގެ މަގު ތަނަސްކޮށްދެއްވީމެވެ. (އެއީ ގަލްފް އޮފް ސްވޭސް އާއި ގުޅިފައި އޮތް ޤުލްޒުމް ކަނޑެވެ. މިހާރުގެ ނަމުން ނަމަ ރަތް ކަނޑެވެ.) އަދި ބުދަށް އަޅުކަންކޮށް، އެއަށް ސަޖިދަ ޖަހަން ތިބި ކަންޢާނީ ޖައްބާރުންގެ ރަށެއްގެ ކައިރިން އެބައިމީހުން ދިޔައެވެ. އެއީ އެބަޔަކާ ހަނގުރާމަކުރުމަށް މޫސާ عليه السلام އަށް އަމުރުކުރެއްވި މީހުންނެވެ. އެހިނދު ބަނީއިސްރާއިލުގެ މީހުން މޫސާ عليه السلام އަށް ދެންނެވިއެވެ. އެބައިމީހުން އެ އަޅުކަންކުރާ ބުދުތައް ފަދަ ބުދެއް ތިމަންމެނަށްވެސް ހޯއްދަވައިދެއްވާށެވެ. މިބަހުން އެބައިމީހުންގެ ޖާހިލުކަމާއި މޮޔަކަން ބޮޑު ވަރު ހާމަވެގެން ދެއެވެ. ބުދަށް އަޅުކަން ކުރުން އެއީ ރަނގަޅުކަމެއް ކަމުގައި އެބައިމީހުން ދުށް ފަދައެވެ. އެހެންކަމުން އެބައިމީހުންނަށް ރައްދުދެއްވަމުން މޫސާ u ވިދާޅުވިއެވެ. ﴿إِنَّكُمْ قَوْمٌ تَجْهَلُونَ﴾ ތިޔަބައިމީހުންނީ ޙަޤީޤަތުގައިވެސް މޮޔަ ޖާހިލުންގެ ޤައުމެކެވެ. ތިޔަބައިމީހުންނަށް މާތް ﷲގެ މަތިވެރިވަންތަކަން ނޭނގެއެވެ. މޫސާ عليه السلام އެބައިމީހުންގެ އެ ހުތުރު ވާހަކައާ މެދު ޙައިރާންވެ ވަޑައިގެން އެބައިމީހުންނީ ޖާހިލުން ކަމުގައި ސިފަކުރެއްވިއެވެ. އެބައިމީހުންގެ ފުށުން އެކަލޭގެފާނަށް ފެނިވަޑިގަތް ޖާހިލުކަމަށް ވުރެ ވަކިން ބޮޑު ޖާހިލުކަމެއް ނުވާތީއެވެ. ދެން އެބައިމީހުންނަށް އިތުރަށް ބަޔާންކޮށްދެއްވަމުން ވިދާޅުވިއެވެ.,,
ހަމަކަށަވަރުން، އެގޮތެއްގެ މަތީގައި އެއުރެންތިބި ގޮތަކީ، ހަލާކުވެ އުވިގެންދާނޭ ގޮތެކެވެ. އަދި އެއުރެން ކޮށްއުޅުނު عمل ތައް، باطل ވެގެންވެއެވެ. (139),ބުދުތަކަށް އަޅުކަންކުރަން ތިބި މީހުންގެ ދީނަކީ ހަލާކުކުރައްވައި އުވާލައްވާފައިވާ ދީނެކެވެ. އެބައިމީހުން އެކުރަނީ ބާޠިލު ޢަމަލުތަކެކެވެ. މާނައީ މާތް ﷲ ވަރަށް އަވަހަށް އެބައިމީހުންގެ ދީން ނައްތާލައްވައި އެބައިމީހުން އެ އަޅުކަންކުރާ ބުދުތައް ފުނޑުފުނޑުކުރައްވާނެއެވެ. އެބައިމީހުންގެ ހުރިހާ ޢަމަލެއް ވެގެން ދާނީ ބޭކާރު ޢަމަލުތަކަކަށެވެ. އެހެންވީއިރު، އެބައިމީހުން އަޅުކަންކުރާ ފަދަ ބުދެއް ތިޔަބައިމީހުންނަށް ހައްދަވައިދެއްވުމަށް ތިޔަބައިމީހުން ތިމަންކަލޭގެފާނުގެ އަރިއަހުން އެދެނީ ކީއްވެހެއްޔެވެ؟,,
އެކަލޭގެފާނު ވިދާޅުވިއެވެ. عالم ތަކުގެ މައްޗަށް ތިޔަބައިމީހުން މާތްކުރެއްވީ، އެކަލާނގެ ކަމުގައިވާ حال، ތިޔަބައިމީހުންނަށް إله އަކު ކަމުގައި اللَّه ނޫން އެހެންފަރާތެއް ތިމަންކަލޭގެފާނު އެދިވަޑައިގަންނަވަންވީ ހެއްޔެވެ؟ (140),އެބައިމީހުން އެދުނު ކަންތަކުގެ ނުބައިކަން އެންގެވުމަށް، އެބައިމީހުންނަށް ރުހިވަޑައިނުގެން، އަދި އެބައިމީހުން އެއެދުނު ކަންތަކާ ދެކޮޅު ހައްދަވަމުން މޫސާ عليه السلام ވިދާޅުވިއެވެ. އަޅުކަންކުރުން ޙައްޤު ހަމައެކަނި ފަރާތް ކަމުގައިވާ މާތް ﷲފިޔަވައި ތިޔަބައިމީހުން އަޅުކަންކުރާނޭ ކަލަކު ތިމަންކަލޭގެފާނު ހޯއްދަވަންވީ ހެއްޔެވެ؟ މާތް ﷲ އެހެން އެއްވެސް ބަޔަކަށް ނުދެއްވާ ނިޢުމަތްތައް ތިޔަބައިމީހުންނަށް ދެއްވައި، ތިޔަބައިމީހުން މާތްކުރައްވައި، ތިޔަބައިމީހުންގެ ޒަމާނުގެ އެންމެންގެ މައްޗަށް ތިޔަބައިމީހުންނަށް މާތްކަން ދެއްވާފައި ވަނިކޮށް ހެއްޔެވެ؟ މިހުރިހާ ނިޢުމަތްތަކުގެ ބަދަލުގައި ތިޔަބައިމީހުން އެކަލާނގެ ފިޔަވައި އެހެން ފަރާތަކަށް އަޅުކަންކުރަނީ ކިހިނެއް ހެއްޔެވެ؟ އެބައިމީހުންގެ އެވާހަކައިގެ ނުބައިކަން މޫސާ عليه السلام އެބައިމީހުންނަށް ބަޔާންކޮށްދެއްވީއެވެ. އެބައިމީހުންނަށް ނިޢުމަތްތައް ދެއްވުމުންވެސް އެބައިމީހުން މާތް ﷲ ފިޔަވައި އެންމެ ނިކަމެތި އަގެއް ނެތް އެއްޗަށް (ބުދަށް) އަޅުކަންކުރަން އެދުނީތީއެވެ. ހުރިހާ ނަބީބޭކަލުން ވަޑައިގެންނެވީ އެ ބުދުތައް މުގުރާލައްވައި، މާތް ﷲ އެއްކައުވަންތަކޮށް އެކަލާނގެއަށް އަޅުކަންކުރުމަށް ގޮވައިލެއްވުމަށެވެ.,,
فرعون ގެ މީހުންގެ ކިބައިން ތިމަންރަސްކަލާނގެ ތިޔަބައިމީހުން މިންޖުކުރެއްވިހިނދު، ހަނދުމަކުރާށެވެ! އެއުރެން ތިޔަބައިމީހުންނަށް ގަދަފަދަވެގެންވާ عذاب ގެ ރަހަ ދައްކަމުން ގެންދެތެވެ. އެއުރެން ތިޔަބައިމީހުންގެ ތެރެއިން ފިރިހެންދަރިން قتل ކޮށް، އަދި ތިޔަބައިމީހުންގެ ތެރެއިން އަންހެނުން ނުމަރައި ބައިތިއްބަތެވެ. އެކަންތައްތަކުގައި، ތިޔަބައިމީހުންގެ ވެރިރަސްކަލާނގެ حضرة ން އައިސްފައިވާ ބޮޑު امتحان އެއްވެއެވެ. (141),އޭ ބަނީއިސްރާއީލުގެ މީހުންނޭވެ! ތިޔަބައިމީހުންނަށް އެންމެ ގަދަފަދަ އެންމެ ނުބައި ޢަޛާބު ދެމުން ގެންދިޔަ ފިރްޢައުނާއި އޭނާގެ އަޢުވާނުންގެ ފަރާތުން ތިޔަބައިމީހުން ސަލާމަތްކުރައްވައި، ތިޔަބައިމީހުންނަށް ތިމަންރަސްކަލާނގެ ދެއްވި މަތިވެރި ނިޢުމަތް ތިޔަބައިމީހުން ހަނދުމަކުރާށެވެ. އެބައިމީހުން ދިޔައީ ތިޔަބައިމީހުންގެ ފިރިހެން ދަރިން މަރައި، ޚިދްމަތުގައި ބޭތިއްބުމަށް އަންހެންކުދިން ދިރި ތިބެން ދޫކޮށްލަމުންނެވެ. އެއީ ތިޔަބައިމީހުންނަށް ބޮޑުވެގެންވާ އިމްތިޙާނެއްގެ ގޮތުގައި ލެއްވި ޢަޛާބެކެވެ. އެކަލާނގެ އެކަމުން ތިޔަބައިމީހުން ސަލާމަތްކުރެއްވިއެވެ. ފަހެ، ތިޔަބައިމީހުން އެކަލާނގެއަށް ޝުކުރުވެރި ނުވަމުހެއްޔެވެ؟ ދެން މާތް ﷲ ގެންނަވާފައިވަނީ އެކަލާނގެ މޫސާ عليه السلام އަށް އެއްވެސް ހުރަހެއް ނެތި ބަސްވަޙީކުރެއްވި ވާހަކައެވެ.,,
