source,#,bodyAR,bodyDV,takhrij
الترغيب والترهيب، المنذري,2/303,[عن بريدة بن الحصيب الأسلمي:] من قرأ القرآنَ وتعلَّم وعمِل به أُلْبِس والداه يومَ القيامةِ تاجًا من نورٍ ضوءُه مثلُ الشَّمسِ ويُكسى والداه حُلَّتَيْن لا يقومُ لهما الدُّنيا فيقولان بمَ كُسينا هذا فيُقالُ بأخذِ ولدِكما القرآنَ,ރަސޫލާ ﷺ ގެ ޙާދީޘް ބަސްފުޅެއްގައި ވެއެވެ: '' ގުރުއާން ކިޔަވައި އަދި އުގަންނައިދީ އަދި އެ އާއި އެއްގޮތަށް އަމަލުކުރި މީހާގެ މައިންބަފައިންގެ ބޮލުގައި ނޫރުން ވާ ތާޖެއް ގިޔާމަތްދުވަހުގައި އެޅުވޭނެއެވެ. އޭގެ އަލިކަން އިރުފަދައެވެ. އަދި އޭނާގެ މައިންބަފައިނަށް ދެ ފޭރާން ލެއްވޭނެއެވެ. މުޅި ދުނިޔެއަށް ވުރެ އޭގެ އަގު މަތިވެރިވެގެންވެއެވެ. އެދެމީހުން ބުނާނެއެވެ. އަހުރެމެންނަށް މިތަކެތި ދެވުނީ ކީއްވެގެން ހެއްޔެވެ. އެހިނދު ބުނެވޭނެއެވެ. އެއީ ތިޔަދެމީހުންގެ ދަރިފުޅު ގުރްއާނުގައި ހިފުމުގެ (އުނގެނި ދަސްކުރުމުގެ) ސަބަބުންނެވެ.,
الترغيب والترهيب، المنذري,2/304,من حافظ على هؤلاء الصَّلواتِ المكتوباتِ لم يُكتبْ من الغافلين ومن قرأَ في ليلةٍ مائةَ آيةٍ كُتِب من القانتين,ފަރުޟު ފަސް ނަމާދަށް ރައްކާތެރިވެއްޖެމީހާ ޣާފިލުވީ މީހުންގެ ތެރެއިން ނުލިޔުއްވޭ ހުއްޓެވެ. އަދި ރޭގަނޑު ސަތޭކަ އާޔަތް ކިޔަވައިފި މީހަކު ކިޔަމަންތެރިވީ އަޅުންގެ ތެރެއިން ލިޔުއްވޭ ހުއްޓެވެ.,
الترغيب والترهيب، المنذري,2/368,من قرأ عشرَ آياتٍ في ليلةٍ لم يُكتَبْ من الغافلين,ރޭގަނޑު ދިހަ އާޔަތް ކިޔަވައިފި މީހަކު ޣާފިލުވީ މީހުންގެ ތެރެއިން ނުލިޔުއްވޭ ހުއްޓެވެ.,
الترغيب والترهيب، المنذري,2/43,قال لي رسولُ اللهِ صلَّى اللهُ عليه وسلَّم يا أبا ذرٍّ أترَى كثرةَ المالِ هو الغنَى قلتُ نعم يا رسولَ اللهِ قال أفترَى قِلَّةَ المالِ هو الفقرُ قلت نعم يا رسولَ اللهِ قال إنَّما الغنَى غنَى القلبِ والفقرُ فقرُ القلبِ,“އޭ އަބޫ ޛައްރުއެވެ! މުދާ ގިނަ ވުމަކީ ، މުއްސަނދި ވުން ކަމުގައި ތިބާ ދެކެމު ހެއްޔެވެ؟” ތިމަން ދެންނެވީމެވެ. އޭ ﷲ ގެ ރަސޫލާއެވެ! އާދޭހެވެ. ޙަދީޘް ކުރެއްވިއެވެ. “މުދާ މަދު ވުމަކީ ފަގީރުވުން ކަމުގައި ތިބާ ދެކެމު ހެއްޔެވެ؟” ތިމަން ދެންނެވީމެވެ. އޭ ﷲ ގެ ރަސޫލާއެވެ! އާދޭހެވެ. ޙަދީޘް ކުރެއްވިއެވެ. “ޙަގީގީ މުއްސަނދި ކަމަކީ ހިތުގެ މުއްސަނދި ކަމެވެ. ޙަގީގީ ފަގީރު ކަމަކީ ހިތް ފަގީރުވުމެވެ.,
الترغيب والترهيب، المنذري,4/289,أنَّه لمَّا حضره الموتُ دعا بثيابٍ جُددٍ فلبِسها ثمَّ قال : سمِعتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّم يقولُ : الميِّتُ يُبعثُ في ثيابِه الَّتي يموتُ فيها,ހަމަކަށަވަރުން މައްޔިތާ އަލުން ދިރުއްވޭނީ އޭނާ އެ ހެދުމެއްގައި ވަނިކޮށް މަރުވި ހެދުން ލައިގެންވަނިކޮށެވެ.,
التلخيص الحبير، ابن حجر,2/593,إنَّ من أفضلِ أيَّامِكم يومَ الجمعةِ فأَكثِروا عليَّ منَ الصَّلاةِ فيهِ,ހަމަކަށަވަރުން ތިޔަބައިމީހުންގެ މައްޗަށްވާ އެންމެ މާތް ދުވަހަކީ ހުކުރު ދުވަހެވެ. ފަހެ އެދުވަހުގައި ތިޔަބައިމީހުން ތިމަންކަލޭގެފާނުގެ މައްޗަށް ޞަލަވާތް ކިޔެވުން ގިނަކުރާށެވެ.,
الثاني من أمالي، ابن السماك,86,عَنْ عَبْدِ اللَّهِ، قَالَ: «تَعَلَّمُوا الْعِلْمَ فَإِنَّ أَحَدَكُمْ لا يَدْرِي مَتَى يَحْتَاجُ إِلَيْهِ؟»,ﷲ އެބޭކަލަކަށް ރުއްސުންލެއްވި ޢަބްދުﷲ ބިން މަސްޢޫދު ވިދާޅުވިއެވެ: އޭ މީސްތަކުންނޭވެ! ތިޔަބައިމީހުން ޢިލްމު އުނގެނޭށެވެ، ފަހެ ހަމަކަށަވަރުން ތިޔަބައިމީހުންކުރެ މީހެއް އެ ޢިލްމަށް ބޭނުންޖެހޭނީ ކޮން އިރަކު ކަމެއް ނޭނގެއެވެ.,
الجامع الصغير، جلال الدين السيوطي,9173,المرأةُ لآخرِ أزواجِها,“އެ މީހެއްގެ ފިރިމީހާ މަރުވުމުން ކައިވެންޏެއް ކޮށްފި އަންހެނާ (ސުވަރުގޭގައި)ވަނީ އޭނާގެ ފަހުގެ ފިރިމީހާއަށެވެ.”,
الجامع لأخلاق الراوي، الخطيب البغدادي,1752,"أنا أَحْمَدُ بْنُ أَبِي جَعْفَرٍ الْقَطِيعِيُّ، نا مُحَمَّدُ بْنُ عَبْدِ اللَّهِ بْنِ الْمُطَّلِبِ، بِالْكُوفَةِ نا يَحْيَى بْنُ مُحَمَّدِ بْنِ صَاعِدٍ، نا الْحَسَنُ بْنُ عِيسَى بْنِ مَاسَرْجِسَ، قَالَ: سَمِعْتُ عَبْدَ اللَّهِ بْنَ الْمُبَارَكِ، وَقَدْ قِيلَ لَهُ: "" يَا أَبَا عَبْدِ الرَّحْمَنِ تُكْثِرُ الْقُعُودَ فِي الْبَيْتِ وَحْدَكَ؟ قَالَ: ‌لَيْسَ ‌أَنَا ‌وَحْدِي ‌أَنَا ‌مَعَ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَأَصْحَابِهِ بَيْنَهُمْ يَعْنِي النَّظَرَ فِي الْكُتُبِ """,ޢަބްދު ﷲ ބިން އަލްމުބާރަކަށް ދެންނެވުނެވެ: އޭ އަބޫ ޢަބްދުއްރަޙްމާނެވެ. ގޭގައި އެކަނި އިނުން ގިނަކުރަނީހެއްޔެވެ؟ އެކަލޭގެފާނު ވިދާޅުވިއެވެ: ތިމަންނަ ވަނީ އެކަންޏެއް ނޫނެވެ. ތިމަންނަ ވަނީ ނަބިއްޔާ ﷺ އަދި އެކަލޭގެފާނުގެ ސަހާބީންގެ ތެރޭގައެވެ. އެބަހީ: ފޮތް ބަލާ (ކިޔާ ހެދުމުގައެވެ.),
الجهاد، ابن المبارك,91,"أَنَّ طَلْحَةَ رَجَعَ بِسَبْعٍ وَثَلاثِينَ ، أَوْ خَمْسٍ وَسَبْعِينَ بَيْنَ ضَرْبَةٍ وَطَعْنَةٍ وَرَمْيَةٍ , رُبِعَ فِيهَا جَبِينُهُ , وَقُطِعَ فِيهَا عِرْقُ نِسَائِهِ , وَشُلَّتْ أُصْبُعُهُ هَذِهِ الَّتِي تَلِي الإِبْهَامَ",މަކަށަވަރުން އެކަލޭގެފާނު އުޙުދުގެދުވަހުގައި ތިރީސް ނުވަ ޒަޚަމުވެވަޑައި ގެންނެވިއެވެ. ނުވަތަ ފަންސާސްތިން ޒަޚަމެވެ. އެކަލޭގެފާނުގެ އިލިފުޅުތައް އެލިގެން ދިޔައެވެ. އެބަހީ: ބޮޑުވައިއިނގިއްޔާއި ،އެއިނގިއްޔާއި ޖެހިގެންހުރި އިނގިއްޔެވެ.,
الداء والدواء، ابن قيم,52,إِنِّي ‌أَرَى ‌اللَّهَ ‌قَدْ ‌أَلْقَى ‌عَلَى قَلْبِكَ نُورًا، فَلَا تُطْفِئْهُ بِظُلْمَةِ الْمَعْصِيَةِ.,ހަމަކަށަވަރުން އަހަރެންނަށް ފެންނަނީ، ﷲ ތިބާގެ ހިތަށް ނޫރު އަޅުއްވާފައިވާ ކަމަށެވެ. ފަހެ، ފާފަތަކުގެ އަނދިރިކަމުން ތިބާ އެ ނޫރު ނިއްވާނުލާށެވެ.,
الداء والدواء، ابن قيم,52,وَقَالَ الشَّافِعِيُّ رَحِمَهُ اللَّهُ: ‌شَكَوْتُ ‌إِلَى ‌وَكِيعٍ ‌سُوءَ ‌حِفْظِي … فَأَرْشَدَنِي إِلَى تَرْكِ الْمَعَاصِي ... وَقَالَ اعْلَمْ بِأَنَّ الْعِلْمَ فَضْلٌ … وَفَضْلُ اللَّهِ لَا يُؤْتَاهُ عَاصِي.,އިމާމު ޝާފިޢީ [204 ހ.] (ޅެންބައިތެއްގައި އެކަލޭގެފާނުގެ ޝައިޚަކާމެދު) ވިދާޅުވެފައިވެއެވެ: ވަކީޢުއަށް އަހުރެންގެ ހަނދާން ދެރަކަމުގެ ޝަކުވާކުރީމެވެ. އެ ހިނދު ފާފަތައް ދޫކޮށްލުމަށް އެކަލޭގެފާނު އިރުޝާދު ދެއްވިއެވެ. އަދި ވިދާޅުވިއެވެ: ދަންނާށެވެ. ހަމަކަށަވަރުން އިލްމަކީ ނޫރެކެވެ. ﷲ ގެ ފަޟްލު ފާފަވެރިއަކަށް ފާފަވެރިޔާއަކަށް ނުދެއްވާނެއެވެ.“ [الداء والدواء 52],
الدعوات الكبير، البيهقي,265,أَخْبَرَنَا أَبُو الْحَسَنِ عَلِيُّ بْنُ أَحْمَدَ بْنِ عَبْدَانَ، حَدَّثَنَا أَحْمَدُ بْنُ عُبَيْدٍ الصَّفَّارُ، حَدَّثَنَا تَمْتَامٌ، حَدَّثَنَا عَبْدُ اللَّهِ بْنُ مَسْلَمَةَ، حَدَّثَنَا حَمَّادُ بْنُ سَلَمَةَ، عَنْ ثَابِتٍ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَ يَقُولُ: «‌اللَّهُمَّ ‌لَا ‌سَهْلَ ‌إِلَّا ‌مَا ‌جَعَلْتَهُ ‌سَهْلًا، ‌وَأَنْتَ ‌تَجْعَلُ ‌الْحَزَنَ ‌إِذَا ‌شِئْتَ ‌سَهْلًا»,ޔާ ﷲ! އިބަ އިލާހު ފަސޭހަ ކޮށްދެއްވައިފި ކަމެއް މެނުވީ ފަސޭހަވެގެނެއް ނުވެއެވެ. އަދި އިބަ އިލާހު އިރާދަ ކުރައްވައިފި ނަމަ، އިބަ އިލާހު ދަތިކަން ފަސޭހަކަމަށް ހައްދަވަމުއެވެ.,صَحَّحَهُ مُقبِل بن هَادِي الوَادِعِي فِي الصَّحِيحِ المُسنَدِ 72
الرد على الجهمية والزنادقة، أحمد بن حنبل,55,يدعون من ضل إلى الهدى، ويصبرون منهم على الأذى، يحيون بكتاب الله الموتى، ويبصرون بنور الله أهل العمى، فكم من قتيل لإبليس قد أحيوه، وكم من ضالٍ تائه قد هدوه، فما أحسن أثرهم على الناس، وأقبح أثر الناس عليهم.,އިމާމް އަޙްމަދު އިލްމުވެރިންނާމެދު ވިދާޅުވިއެވެ: އެ ބޭކަލުން، މަގުފުރެދިފައިވާ މީސްތަކުންނަށް ތެދުމަގަށް ގޮވާލައްވައެވެ. އަދި އެބައިމީހުންގެ ފަރާތުން ލިބޭ އުނދަގޫތަކަށް ކެތްތެރިވެލައްވައެވެ. އަދި (ހިތް) މަރުވެފައިވާ މީހުން، ﷲގެ ފޮތުން ދިރުއްވައެވެ. އަދި ލޯ ކަނުވެފައިވާ މީހުންނަށް ﷲގެ ނޫރުން ފެނުން ދައްކަވައެވެ. ފަހެ އިބްލީސް، އެ ބަޔަކު މަރާލާފައިވާ ކިތައް މީހުންނަށް އެ ބޭކަލުން ދިރުންދެއްވައިފައި ވޭހެއްޔެވެ؟ އަދި މަގުފުރެދި ގެއްލިފައިވާ ކިތައް މީހުންނަށް އެ ބޭކަލުން ތެދުމަގު ދައްކަވައިފައި ވޭހެއްޔެވެ؟ ފަހެ މީސްތަކުންގެ މައްޗަށް އެ ބޭކަލުންގެ އަސަރުގެ ރިވެތިކަމާއެވެ! އަދި އެ ބޭކަލުންގެ މައްޗަށް މީސްތަކުންގެ އަސަރުގެ ހުތުރުކަމާއެވެ!,
الزهد، أحمد بن حنبل,22,كانوا يقولون: موت العالم ثلمة في الإسلام لا يسدها شيء ما اختلف الليل والنهار.,"އަލްޙަސަން އަލްބަޞްރީ رحمه الله ވިދާޅުވެފައިވެއެވެ: އެ ބޭކަލުން (އެބަހީ: ސަހާބީން) ވިދާޅުވެ އުޅުއްވިއެވެ: އިލްމުވެރިޔާގެ މަރަކީ އިސްލާމް ދީނުގައި އެޅޭ ރެނދެކެވެ. ރޭދުވާ ދައުރުވާހާ ހިނދަކު، އެއްވެސް އެއްޗަކުން އެ ފޫނުބެއްދޭނެއެވެ.""",
