bodyAR,bodyDV
﴿وَرَبُّكَ يَخۡلُقُ مَا يَشَآءُ وَيَخۡتَارُۗ مَا كَانَ لَهُمُ ٱلۡخِيَرَةُۚ سُبۡحَٰنَ ٱللَّهِ وَتَعَٰلَىٰ عَمَّا يُشۡرِكُونَ68﴾,"﴿وَرَبُّكَ يَخۡلُقُ مَا يَشَآءُ وَيَخۡتَارُۗ مَا كَانَ لَهُمُ ٱلۡخِيَرَةُۚ سُبۡحَٰنَ ٱللَّهِ وَتَعَٰلَىٰ عَمَّا يُشۡرِكُونَ﴾
 މާނައީ: ""ކަލޭގެފާނުގެ ވެރިރައްބު، އެއިލާހު އިރާދަކުރައްވާ އެއްޗެއް ހައްދަވައި، އަދި އިޚްތިޔާރު ކުރައްވަތެވެ. އެއުރެންނަކަށް އިޚްތިޔާރު ލިބިގެނެއް ނުވެއެވެ. އެއުރެން ޝަރީކުކުރާ ތަކެތިން ﷲ ހުސްޠާހިރުވެ، މަތިވެރިވެވޮޑިގެންވެއެވެ."""
[القصص: 68]،,[އަލް-ޤަޞަޞް: 68]،
وقد اختار الله هذا المكان ليكون مسجدًا لنبيه ﷺ وخصه بفضائل عديدة منها:,ހަމަކަށަވަރުން ﷲ ތަޢާލާ ވަނީ މިތަން އެއިލާހުގެ ނަބިއްޔާ ﷺ އަށްޓަކައިވާ މިސްކިތެއްގެ ގޮތުގައިވުމަށް އިޚްތިޔާރުކުރައްވައި، ގިނަގުނަ މާތްކަންތަކަކުން ޚާއްޞަކުރައްވާފައެވެ. އޭގެ ތެރޭގައި:
أنه أحد المساجد الثلاثة التي تشدُّ الرحال إليها:,އެއީ، އެ ތަންތަނަށް ދަތުރުހަދައިގެން ދެވޭ ތިން މިސްކިތުގެ ތެރެއިން އެއް މިސްކިތްކަމެވެ:
فعن أبي هريرة رضي الله عنه: يبلغ به النبي ﷺ:,އެގޮތުން އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން، ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިކަމަށް ފޯރާފައިވާކަމަށެވެ:
«لَا تُشَدُّ الرِّحَالُ إِلَّا إِلَى ثَلَاثَةِ مَسَاجِدَ: مَسْجِدِي هَذَا، وَمَسْجِدِ الحَرَامِ، وَمَسْجِدِ الأَقْصَى» [1].,"""ތިން މިސްކިތަކަށް މެނުވީ ދަތުރުމަތި ނުހެދޭނެއެވެ: ތިމަންކަލޭގެފާނުގެ މި މިސްކިތްކޮޅާއި، މަސްޖިދުލް ޙަރާމްއާއި، އަދި މަސްޖިދުލް އަޤްޞާއެވެ."" [1]."
[1]أخرجه البخاري برقم: (1189)، مسلم برقم: (1397) واللفظ له.,[1] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 1189 ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު 1397 ގައެވެ. އަދި މިއީ މުސްލިމްގެ ލަފްޒެވެ.
أن الصلاة فيه خير من ألف صلاة فيما سواه إلا المسجد الحرام:,އެތާނގައި (ނަބަވީ މިސްކިތުގައި) ކުރާ ނަމާދު، މަސްޖިދުލް ޙަރާމް ފިޔަވައި، އެ ނޫން ތަންތާނގައި ކުރާ އެއްހާސް ނަމާދަށްވުރެ ހެޔޮވެގެންވެއެވެ.
فعن أبي هريرة رضي الله عنه: أن النبي ﷺ قال:,އެގޮތުން އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުންވެއެވެ: ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވި ކަމުގައެވެ:
«صَلَاةٌ فِي مَسْجِدِي هَذَا خَيْرٌ مِنْ أَلْفِ صَلَاةٍ فِيمَا سِوَاهُ، إِلَّا المَسْجِدَ الحَرَامَ»[2].,"""ތިމަންކަލޭގެފާނުގެ މި މިސްކިތްކޮޅުގައި ކުރާ ނަމާދެއް، އެނޫން އެހެން ހުރިހާ ތަނެއްގައި ކުރާ އެއް ހާސް ނަމާދަށްވުރެ ހެޔޮވެގެންވެއެވެ. އެއީ މަސްޖިދުލް-ޙަރާމް ފިޔަވައެވެ."" [2]."
[2]أخرجه البخاري برقم: (1190)، مسلم برقم: (1395) واللفظ للبخاري.,[2] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 1190 ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު 1395 ގައެވެ. އަދި މި ލަފުޒު ވަނީ އަލް-ބުޚާރީ އަށެވެ.
أنه المسجد الذي أُسِّسَ على التقوى من أول يوم:,އެއީ އެންމެ ފުރަތަމަ ދުވަހުން ފެށިގެން ތަޤުވާވެރިކަމުގެ މައްޗަށް ބިންގާ އެޅިގެންވާ މިސްކިތް:
فعن أبي سعيد الخدري رضي الله عنه: قال: دخلتُ على رسول الله ﷺ في بيت بعض نسائه، فقلتُ: يا رسول الله، أي المسجدين الذي أسس على التقوى؟ قال: فأخذ كفا من حصباء، فضرب به الأرض، ثم قال:,"އެގޮތުން އަބޫ ސަޢީދުލް-ޚުދްރީ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ: އެބޭފުޚާ ވިދާޅުވިއެވެ: އަހަރެން، ﷲ ގެ ރަސޫލާ ﷺ ގެ އަރިހަށް ވަނީމެވެ. އެއީ އެކަލޭގެފާނުގެ އަނބިއަނބިކަނބަލުންގެ ތެރެއިން ބޭކަނބަލެއްގެ ގެކޮޅެއްގައެވެ. ދެން، އަހަރެން ދެންނެވީމެވެ: ""އޭ ﷲ ގެ ރަސޫލާއެވެ، ތަޤްވާގެ މައްޗަށް ބިންގާއެޅިފައިވަނީ ދެ މިސްކިތުގެ ތެރެއިން ކޮން މިސްކިތެއްތޯއެވެ؟"" - (އަބޫ ސަޢީދު) ވިދާޅުވިއެވެ: - ދެން، އެކަލޭގެފާނު ކުދި ހިލަ މުށެއް ނަންގަވައި، އެއިން ބިންގަނޑުގައި ޖެއްސެވުމަށްފަހު، ޙަދީޘްކުރެއްވިއެވެ:"
«هُوَ مَسْجِدُكُمْ هَذَا» لِمَسْجِدِ المَدِينَةِ[3].,"""އެއީ ތިޔަބައިމީހުންގެ މިހިރަ މި މިސްކިތެވެ."" އެއީ މަދީނާގެ މިސްކިތްކޮޅަށެވެ. [3]."
[3]أخرجه مسلم برقم: (1398).,[3] މި ޙަދީޘް ނެރުއްވީ މުސްލިމް، ނަމްބަރު (1398) ގައެވެ.
أن أجر طالب العلم فيه، كأجر المجاهد في سبيل الله:,އެ މިސްކިތުގައި ޢިލްމު އުނގެނުމުގެ އަޖުރު، ﷲ ގެ މަގުގައި ޖިހާދުކުރާ މުޖާހިދެއްގެ އަޖުރާ އެއްފަދައެވެ:
فعن أبي هريرة رضي الله عنه، قال: سمعت رسول الله ﷺ يقول:,އެގޮތުން އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. ވިދާޅުވިއެވެ: ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރައްވަނިކޮށް އަހަރެން އަޑުއެހީމެވެ:
«مَنْ جَاءَ مَسْجِدِي هَذَا، لَمْ يَأْتِهِ إِلَّا لِخَيْرٍ يَتَعَلَّمُهُ أَوْ يُعَلِّمُهُ، فَهُوَ بِمَنْزِلَةِ المُجَاهِدِ فِي سَبِيلِ اللهِ، وَمَنْ جَاءَ لِغَيْرِ ذَلِكَ، فَهُوَ بِمَنْزِلَةِ الرَّجُلِ يَنْظُرُ إِلَى مَتَاعِ غَيْرِهِ»[4].,"""ތިމަންކަލޭގެފާނުގެ މި މިސްކިތްކޮޅަށް، ހެޔޮކަމެއް އުނގެނުމަށް ނުވަތަ އުނގަންނައިދިނުމަށްޓަކައި މެނުވީ ނާންނަ މީހާ؛ ފަހެ އޭނާ ވަނީ ﷲ ގެ މަގުގައި ޖިހާދުކުރާ މުޖާހިދެއްގެ ދަރަޖައިގައެވެ. އަދި އެ ނޫން ކަމަކަށް އަތުވެއްޖެ މީހާ، ފަހެ، އެމީހާ ވަނީ އެހެން މީހެއްގެ މުދަލަށް ބަލަން ހުންނަ މީހެއްގެ މަންޒިލުގައެވެ.""[4]."
[4]أخرجه ابن ماجه برقم: (227) بسندٍ صحيح.,[4] މި ޙަދީޘް ނެރުއްވީ އިބްނު މާޖާ، ނަމްބަރު (227) ގައި ޞައްޙަ ސަނަދަކުންނެވެ.
أنَّ فيه الروضة الشريفة:,އެތަނުގައި ޝަރަފުވެރިވެގެންވާ ރަޥްޟާވެއެވެ:
فعن أبي هريرة رضي الله عنه، عن النبي ﷺ قال:,އެގޮތުން އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«مَا بَيْنَ بَيْتِي وَمِنْبَرِي رَوْضَةٌ مِنْ رِيَاضِ الجَنَّةِ، وَمِنْبَرِي عَلَى حَوْضِي»[5].,"""ތިމަންކަލޭގެފާނުގެ ގެކޮޅާއި ތިމަންކަލޭގެފާނުގެ މިންބަރުކޮޅާ ދެމެދުގައިވަނީ: ޖަންނަތުގެ ބަގީޗާތަކުގެ ތެރެއިން ބަގީޗާއެކެވެ. އަދި ތިމަންކަލޭގެފާނުގެ މިންބަރުކޮޅު ވަނީ ތިމަންކަލޭގެފާނުގެ ޙައުޟު (ޤިޔާމަތްދުވަހު އެކަލޭގެފާނަށް ދެއްވިގެންވާ ފެންގަނޑު) ގެ މަތީގައެވެ.""[5]."
[5]متفق عليه. البخاري برقم: (1195)، مسلم برقم: (1390).,[5] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 1195 ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު 1390 ގައެވެ.
ثانيًا: استحباب زيارة المسجد النبوي الشريف,ދެވަނައީ: ޝަރަފުވެރި މަސްޖިދުއް-ނަބަވީއަށް ޒިޔާރަތްކުރުން އެދެވި މުސްތަޙައްބުކަން
لهذه الفضائل وغيرها تستحب زيارة المسجد النبوي للصلاة فيه والعبادة.,މި މާތްކަންތަކާއި އެނޫންވެސް ކަންކަމަށްޓަކައި، މަސްޖިދުއް-ނަބަވީގައި ނަމާދުކުރުމަށާއި އަޅުކަންކުރުމަށް ޒިޔާރަތްކުރުން މުސްތަޙައްބުވެގެންވެއެވެ.
- فيسنُّ للحاج وغيره زيارة المسجد النبوي قبل الحج أو بعده، وليست هذه الزيارة من شروط الحج ولا أركانه ولا واجباته، ولا تعلق لها به.,- ފަހެ އެގޮތުން ޙައްޖުވެރިޔާއަށާއި އެނޫން މީހުންނަށް، ޙައްޖުގެ ކުރިން ނުވަތަ ފަހުންވެސް މަސްޖިދުއް-ނަބަވީއަށް ޒިޔާރަތްކުރުން ސުންނަތްވެގެންވެއެވެ. އަދި މި ޒިޔާރަތަކީ، ޙައްޖުގެ ޝަރުޠުތަކުގެ ތެރެއިން، ނުވަތަ އޭގެ ރުކުންތަކުގެ ތެރެއިން، ނުވަތަ އޭގެ ވާޖިބުތަކުގެ ތެރެއިންވާ ކަމެއްވެސް ނޫނެވެ. އަދި ޙައްޖާ މިކަމާ އެއްވެސް ގުޅުމެއްވެސް ނުވެއެވެ.
- ولا يشترط لزيارة مسجد النبي ﷺ عدد معين من الصلوات، أو إقامة مدة معينة في المدينة، بل تتحقق زيارته بصلاة واحدة سواء كانت فريضة أم نافلة، لكن كلما زاد عدد الصلوات فيه، زاد الأجر.,- އަދި ނަބިއްޔާ ﷺ ގެ މިސްކިތްކޮޅަށް ޒިޔާރަތްކުރުމަށް، ވަކި ޢަދަދަކަށް ނަމާދުކުރާކަށް، ނުވަތަ މަދީނާގައި ވަކި މުއްދަތަކަށް ޤާއިމުވެގެން ހުންނާކަށް ޝަރުޠުވެގެން ނުވެއެވެ. ކިއެއްތަ، ފަރުޟެއްވިޔަސް ސުންނަތެއްވިޔަސް، (އެތަނުގައި) އެންމެ ނަމާދެއް ކުރުމުންވެސް އެ ޒިޔާރަތް ޙާޞިލުވެއެވެ. ނަމަވެސް، އެތަނުގައި ކުރާ ނަމާދު ގިނަވިވަރަކަށް، އަޖުރުވެސް އިތުރުވެއެވެ.
- ويستحب لزائر المسجد النبوي أن يؤدي جميع الصلوات المفروضة فيه وكذلك النوافل؛ لما سبق من أن الصلاة فيه خيرٌ من ألف صلاة فيما سواه إلا المسجد الحرام.,- މަސްޖިދުއް ނަބަވީއަށް ޒިޔާރަތްކުރާ މީހާ، އެތަނުގައި ހުރިހާ ފަރުޟު ނަމާދުތަކާއި، އަދި ސުންނަތް ނަމާދުތައްވެސް އަދާކުރުން މުސްތަޙައްބުވެގެންވެއެވެ. އެއީ ކުރިން އިސްވެފައިވާ ފަދައިން، އެތަނުގައި ކުރާ ނަމާދު، މަސްޖިދުލް-ޙަރާމް ފިޔަވައި، އެ ނޫން މިސްކިތްތަކުގައި ކުރާ އެއްހާސް ނަމާދަށްވުރެ ހެޔޮވެގެންވާތީއެވެ.
ثالثًا: آداب زيارة المسجد النبوي,ތިންވަނައީ: މަސްޖިދުއް-ނަބަވީއަށް ޒިޔާރަތްކުރުމުގެ އަދަބުތައް
إذا أتى المسلمُ إلى المسجد النبوي، فيستحب له أن يتحلى بالآداب الشرعية المتعلقة بالمساجد عامة، وبالمسجد النبوي خاصة، وهي:,މުސްލިމްމީހާ މަސްޖިދުއް-ނަބަވީއަށް އަތުވެއްޖެނަމަ، ފަހެ ޢާއްމުކޮށް މިސްކިތްތަކާއި އަދި ޚާއްޞަކޮށް މަސްޖިދުއް-ނަބަވީއާ ގުޅުންހުރި ޝަރުޢީ އަދަބުތަކުން ޒީނަތްތެރިވުން އޭނާއަށް އެދެވި މުސްތަޙައްބުވެގެންވެއެވެ. އެއީ:
أن يأتي إلى المسجد بسكينةٍ، ووقارٍ، وطهورٍ، ومظهرٍ حسنٍ، ورائحةٍ طيبةٍ، فعَنْ أَبِي هُرَيْرَةَ رضي الله عنه، أَنَّ رَسُولَ اللهِ ﷺ ، قَالَ:,މަޑުމައިތިރިކަމާއި ހަމަހިމޭންކަމާއެކު، ޠާހިރުވެ، ރިވެތި ޞިފައެއްގައި، އަދި މީރުވަސް ދުވާ ޙާލުގައި މިސްކިތަށް އައުމެވެ. އެގޮތުން، އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. ހަމަކަށަވަރުން ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«إِذَا ثُوِّبَ لِلصَّلَاةِ فَلَا تَأْتُوهَا وَأَنْتُمْ تَسْعَوْنَ، وَأْتُوهَا وَعَلَيْكُمُ السَّكِينَةُ، فَمَا أَدْرَكْتُمْ فَصَلُّوا، وَمَا فَاتَكُمْ فَأَتِمُّوا، فَإِنَّ أَحَدَكُمْ إِذَا كَانَ يَعْمِدُ إِلَى الصَّلَاةِ فَهُوَ فِي صَلَاةٍ»[6]،,"""ނަމާދަށް ޤަމަތްދެވިއްޖެނަމަ؛ ފަހެ ތިޔަބައިމީހުން އަވަސްއަރުވާގަނެގެން ނަމާދަށް ނާންނަހުށިކަމެވެ. އެކަމަކު ތިޔަބައިމީހުން ހަމަހިމޭންކަމާއެކު ނަމާދަށް އަންނަހުށިކަމެވެ. ދެންފަހެ ތިޔަބައިމީހުންނަށް ނަމާދުން ލިބުނު މިންވަރެއް ކުރާނީއެވެ. އަދި ތިޔަބައިމީހުންނަށް ފާއިތުވި މިންވަރެއް ފުރިހަމަކުރާނީއެވެ. ފަހެ ހަމަކަށަވަރުން، ތިޔަބައިމީހުންކުރެ މީހަކު ނަމާދަށް އައުމަށް ޤަޞްދުކޮށް ކުރިމަތިލައިފިނަމަ؛ ފަހެ އޭނާ އެވަނީ ނަމާދުގައެވެ."" [6]،"
وعن أبي سعيد الخدري رضي الله عنه أن النبي ﷺ قال:,އަބޫ ސަޢީދުލް-ޚުދްރީ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ: ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«الغُسْلُ يَوْمَ الجُمُعَةِ وَاجِبٌ عَلَى كُلِّ مُحْتَلِمٍ، وَأَنْ يَسْتَنَّ، وَأَنْ يَمَسَّ طِيبًا إِنْ وَجَدَ»[7]،,“ހުކުރު ދުވަހު ހިނައިގަތުމަކީ ބާލިޣުވެފައިވާ ކޮންމެ މީހެއްގެ މައްޗަށްވާ ވާޖިބެކެވެ. އަދި ސިވާކުކޮށް، އަދި އޭނާއަށް ލިބިއްޖެނަމަ، ހުވަނދުލާ ހުއްޓެވެ.”[7]،
وأما المرأة فإنها إذا جاءت إلى المسجد، فيجب عليها أن تكون متسترة بحجابها، ولا يجوز لها أن تتطيب أو تتعطر لقول النبي ﷺ:,އަންހެނާއާމެދު ދަންނައެ، އެކަނބުލޭ މިސްކިތަށް އަތުވެއްޖެނަމަ؛ އެކަނބުލޭގެ ޙިޖާބުން ނިވާވެ ފަރުދާވެގެންވުން ވާޖިބުވެގެންވެއެވެ. އަދި އެކަނބުލޭގެ މީރުވަސްދުވާ ތަކެތި ނުވަތަ ޢަތަރު ލުން ހުއްދަވެގެންނުވެއެވެ. އެއީ ނަބިއްޔާ ﷺ ގެ ބަސްފުޅަށްޓަކައެވެ:
«إِذَا شَهِدَتْ إِحْدَاكُنَّ المَسْجِدَ فَلَا تَمَسَّ طِيبًا»[8].,«ތިޔަ ކަނބަލުންގެ ތެރެއިން ކަނބަލަކު މިސްކިތަށް ހާޟިރުވެއްޖެނަމަ؛ ފަހެ މީރުވަސްދުވާ އެއްޗެއް ނުލާހުށިކަމެވެ.»[8].
[6]أخرجه البخاري برقم: (636)، ومسلم برقم: (602).,[6] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 636 ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު 602 ގައެވެ.
[7]متفق عليه، البخاري برقم: (846)، ومسلم برقم: (858)، والمحتلم هو البالغ.,[7] އެޙަދީޘްގެ މައްޗަށް އިއްތިފާޤުވެފައެވެ. އެއީ އަލް-ބުޚާރީ، ނަމްބަރު: (846)، އަދި މުސްލިމް، ނަމްބަރު: (858) ގައެވެ. އަދި އަލް-މުޙްތަލިމްއަކީ ބާލިޣުވެފައިވާ މީހާއެވެ.
[8]أخرجه مسلم برقم: (443).,[8] މި ޙަދީޘް ނެރުއްވީ މުސްލިމް ނަމްބަރު 443 ގައެވެ.
تقديم الرِّجْل اليمنى عند دخول المسجد النبوي، والإتيان بدعاء دخول المسجد. فيستحب للزائر أن يقدم رجْله اليمنى عند دخوله المسجد النبوي كغيره من المساجد، وأن يدعو بهذا الدعاء:,"މަސްޖިދުއް-ނަބަވީއަށް ވަންނައިރު ކަނާތުފައި އިސްކުރުމާއި، މިސްކިތަށް ވަނުމުގެ ދުޢާ ކިޔުން. 
 ފަހެ އެގޮތުން ޒިޔާރަތްކުރާ މީހާ، އެހެނިހެން މިސްކިތްތަކެކޭ އެއްފަދައިން މަސްޖިދުއް-ނަބަވީއަށް ވަންނައިރުވެސް، އޭނާގެ ކަނާތުފައި އިސްކުރުން މުސްތަޙައްބުވެގެންވެއެވެ. އަދި އޭނާ މި ދުޢާ ކިޔާނީއެވެ:"
«بِسْمِ اللَّهِ، وَالسَّلَامُ عَلَى رَسُولِ اللَّهِ، اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي وَافْتَحْ لِي أَبْوَابَ رَحْمَتِكَ»[9]،,"«بِسْمِ اللَّهِ، وَالسَّلَامُ عَلَى رَسُولِ اللَّهِ، اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي وَافْتَحْ لِي أَبْوَابَ رَحْمَتِكَ»[9]،
 މާނައީ: ""ﷲ ގެ އިސްމުފުޅުން ވަންނަމެވެ. އަދި ﷲ ގެ ރަސޫލާގެ މައްޗަށް ސަލާމްހުއްޓެވެ. ﷲ އޭވެ! މި އަޅާގެ ފާފަތައް ފުއްސަވާށިއެވެ! އަދި އިބަ އިލާހުގެ ރަޙްމަތުގެ ދޮރުކޮޅުތައް މި އަޅާއަށްޓަކައި ހުޅުއްވާދެއްވާށިއެވެ."" [9]،"
وَكَذَلِكَ يَقُولُ:,އަދި ހަމައެފަދައިން މިހެން ކިޔާހުށިކަމެވެ:
«أَعُوذُ بِاللَّهِ العَظِيمِ، وَبِوَجْهِهِ الكَرِيمِ، وَسُلْطَانِهِ القَدِيمِ، مِنَ الشَّيْطَانِ الرَّجِيمِ»[10].,"«أَعُوذُ بِاللَّهِ العَظِيمِ، وَبِوَجْهِهِ الكَرِيمِ، وَسُلْطَانِهِ القَدِيمِ، مِنَ الشَّيْطَانِ الرَّجِيمِ»[10].
 މާނައީ: ""މަތިވެރި ﷲ ގެ ޙަޟްރަތުން، އަދި އެކަލާނގެ މާތްވެގެންވާ މޫނުފުޅާއި، އެއިލާހު އިސްވެގެންވާ ބާރު މެދުވެރިކޮށް: ލަޢުނަތް ލެއްވި ރަޙްމަތުން ފައްސާލެވިގެންވާ ޝައިޠާނާގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވުމަށް އެދެމެވެ."""
[9]أخرجه ابن ماجه برقم: (771)، بسندٍ صحيح.,[9] މި ޙަދީޘް ނެރުއްވީ އިބްނު މާޖާ، ނަމްބަރު (771) ގައި، ޞައްޙަ ސަނަދަކުންނެވެ.
[10]أخرجه أبو داود برقم: (466)، بسندٍ صحيح.,[10] މި ޙަދީޘް ނެރުއްވީ އަބޫ ދާވޫދު، ނަމްބަރު (466) ގައި، ޞައްޙަ ސަނަދަކުންނެވެ.
أداء تحية المسجد: يُسَنُّ لمن دخل المسجد النبوي للصلاة فيه، أن يصليَ ركعتين تحية المسجد قبل الجلوس، فَعَن أبي قَتَادَةَ الحَارِث بْن رِبْعِيٍّ الأنْصَارِيِّ رضي الله عنه، قَالَ: قَالَ النَّبِيُّ ﷺ:,މިސްކިތުގެ ތަޙިއްޔާ އަދާކުރުން: މަސްޖިދުއް-ނަބަވީއަށް ނަމާދުކުރުމަށް ވަންނަ މީހަކު، އިށީންނުމުގެ ކުރިން ތަޙިއްޔަތުލް-މަސްޖިދުގެ ދެ ރަކްޢަތް ކުރުން ސުންނަތްވެގެންވެއެވެ. އެގޮތުން، އަބޫ ޤަތާދާ އަލް-ޙާރިޘް ބްނު ރިބްޢިއްޔު އަލް-އަންޞާރީ رضي الله عنه، ވިދާޅުވިއެވެ: ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«إِذَا دَخَلَ أَحَدُكُمُ المَسْجِدَ، فَلَا يَجْلِسْ حَتَّى يُصَلِّيَ رَكْعَتَيْنِ»[11].,“ތިޔަބައިމީހުންކުރެ މީހަކު މިސްކިތަށް ވަދެއްޖެނަމަ؛ ފަހެ ދެ ރަކުޢަތް ނަމާދުކޮށްފުމަށް ދާންދެން ނުއިށީންނަހުށިކަމެވެ.”[11].
