ayahW2W,ayahDV
وَإِذْ أَوْحَيْتُ = އަދި ތިމަންރަސްކަލާނގެ وحي ކުރެއްވިހިނދު / إلْهام ކުރެއްވިހިނދު. إِلَى الْحَوَارِيِّينَ = حوارى ންނަށް. (حَوَارى ންނަކީ عيسى عليه السّلام ގެ أصحاب ންނެވެ.) أَنْ آمِنُوا بِي = ކަލޭމެން ތިމަންރަސްކަލާނގެ އަށް އީމާންވުމަށް! وَبِرَسُولِي = އަދި ތިމަންރަސްކަލާނގެ رسول އާ އަށާއި. قَالُوا آمَنَّا = އެބޭކަލުން ދެންނެވިއެވެ. އަޅަމެން އީމާންވެއްޖައީމެވެ. وَاشْهَدْ = އަދި އިބަރަސްކަލާނގެ ހެކިވެވޮޑިގަންނަވާނދޭވެ! بِأَنَّنَا مُسْلِمُونَ = ހަމަކަށަވަރުން އަޅަމެންނީ ކިޔަމަންތެރިވެގެންވާ ބަޔަކުކަމުގައި.,(111) އަދި حَوَارىُّ ންނަށް ތިމަންރަސްކަލާނގެއަށާއި އަދި ތިމަންރަސްކަލާނގެ رسول އާއަށް ކަލޭމެން އީމާންވާށޭ وحي ކުރެއްވުމުން އެމީހުން ދެންނެވިއެވެ. އަޅަމެން އީމާންވެއްޖައީމެވެ. އަދި ހަމަކަށަވަރުން އަޅަމެން ކިޔަމަންތެރިވެގެންވާކަމުގައި އިބަރަސްކަލާނގެ ހެކިވެވޮޑިގަންނަވާށެވެ!
إِذْ قَالَ الْحَوَارِيُّونَ = حَوَارىُّ ން ދެންނެވިހިނދު (ހަނދުމަފުޅުކުރައްވާށެވެ!) يَا عِيسَى ابْنَ مَرْيَمَ = އޭ مريم ގެފާނުންގެ ދަރިކަލުން عيسى (عليه السّلام) އެވެ. هَلْ يَسْتَطِيعُ رَبُّكَ = ކަލޭގެފާނުންގެ رَبّ އަށް ކުޅަދުންވަންތަވެވޮޑިގެންވޭހެއްޔެވެ؟ أَن يُنَزِّلَ عَلَيْنَا مَائِدَةً = އެކަލާނގެ އަޅަމެންގެމައްޗަށް ކާ ދޮލަނގެއް ބާވައިލެއްވުމަށް. مِّنَ السَّمَاءِ = އުޑުން. قَالَ = އެކަލޭގެފާނު عيسى (عليه السّلام) ވިދާޅުވިއެވެ. اتَّقُوا اللَّهَ = ކަލޭމެން ﷲ އަށް تقوى ވެރިވާށެވެ! إِن كُنتُم مُّؤْمِنِينَ = ކަލޭމެންނީ مؤمن ންކަމުގައިވަންޏާ.,(112) (عيسى عليه السّلام ގެ أصحاب ން) ދެންނެވިހިނދު (ހަނދުމަފުޅުކުރައްވާށެވެ!) އޭ مَرْيَم ގެފާނުންގެ ދަރިކަލުން عيسى (عليه السّلام އެވެ!) އަޅުގަނޑުމެންނަށް އުޑުން ކާނާދޮލަނގެއް ބާވައިލެއްވުމަށް ކަލޭގެފާނުންގެ رَبّ އަށް ކުޅަދުންވަންތަވެވޮޑިގެންވޭތޯއެވެ؟ އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ކަލޭމެންނަކީ مؤمن ންކަމުގައިވަންޏާ ކަލޭމެން ﷲ އަށް تقوى ވެރިވާށެވެ! ބިރުވެތިވާށެވެ!
قَالُوا = އެމީހުން ދެންނެވިއެވެ. نُرِيدُ أَن نَّأْكُلَ مِنْهَا = އަހުރެމެން އެދެނީ އެއިން ކެއުމަށެވެ. وَتَطْمَئِنَّ قُلُوبُنَا = އަދި އަހުރެމެންގެ ހިތްތައް ހަމަޖެއްސުމަށެވެ. وَنَعْلَمَ = އަދި އަހުރެމެންނަށް އެނގުމަށެވެ. أَن قَدْ صَدَقْتَنَا = ކަލޭގެފާނު އަހުރެމެން ތެދުކުރައްވައިފިކަން. وَنَكُونَ عَلَيْهَا = އަދި އެކަމުގެމައްޗަށް އަހުރެމެން ވުމަށްޓަކައެވެ. مِنَ الشَّاهِدِينَ = ހެކިވެރިންގެތެރެއިން.,(113) އެމީހުން ދެންނެވިއެވެ. އަޅުގަނޑުމެން އެދެނީ އެއިން އަޅުގަނޑުމެން ކެއުމާއި އަދި އަޅުގަނޑުމެންގެ ހިތްތައް ހަމަޖެހުމާއި އަދި ކަލޭގެފާނު އަޅުގަނޑުމެން ތެދުކުރައްވައިފިކަން އަޅުގަނޑުމެންނަށް އެނގުމާއި އަދި އެކަމުގެމައްޗަށް ހެކިދޭބަޔަކުކަމުގައި އަޅުގަނޑުމެންވުމަށެވެ.
قَالَ عِيسَى ابْنُ مَرْيَمَ = مريم ގެފާނުންގެ ދަރިކަލުން عيسى (عليه السّلام) ދެންނެވިއެވެ. اللَّهُمَّ رَبَّنَا = އޭ އަޅަމެންގެ ربُّ، މަތިވެރި ﷲ އެވެ! أَنزِلْ عَلَيْنَا = އަޅަމެންގެމައްޗަށް ބާވައިލައްވާންދޭވެ! مَائِدَةً مِّنَ السَّمَاءِ = އުޑުން ކާތަކެތީގެ ދޮލަނގެއް. تَكُونُ لَنَا = އަޅަމެންނަށްވުމަށްޓަކައެވެ. عِيدًا لِّأَوَّلِنَا وَآخِرِنَا = އަޅަމެންގެ އިސްވެދިޔަމީހުންނަށާއި އަދި ފަހުން އަންނަބަޔަކަށް عيد އެއްކަމުގައި. وَآيَةً مِّنكَ = އަދި އިބަރަސްކަލާނގެ حضرة ންވާ دليل އެއްކަމުގައި. وَارْزُقْنَا = އަދި އަޅަމެންނަށް ރިޒުގުދެއްވާނދޭވެ! وَأَنتَ = އަދި އިބަރަސްކަލާނގެއީ. خَيْرُ الرَّازِقِينَ = ރިޒުގު އެންމެހެޔޮގޮތުގައި ދެއްވާ ކަލާނގެއެވެ.,(114) مريم ގެފާނުންގެ ދަރިކަލުން عيسى (عليه السّلام) ދެންނެވިއެވެ. އޭ އަޅަމެންގެ رَبّ، މަތިވެރި ﷲ އެވެ! އަޅަމެންނަށް އުޑުން ކާތަކެތީކެ ދޮލަނގެއް ބާވައިލައްވާނދޭވެ! އެއީ އަޅަމެންގެ ކުރީގެ މީހުންނާއި އަދި ފަހުގެ މީހުންނަށްވާ عيد އެއްގެގޮތުންނެވެ. (އެބަހީ މިހާރުތިބިމީހުންނަށާއި ފަހުން އަންނަ ބަޔަކަށްވެސް عيدއެއްގެގޮތުންނާއި) އަދި އިބަރަސްކަލާނގެ ކުޅަދުންވަންތަކަމާއި އެއްކައުވަންތަ ކަމުގެ މައްޗަށްވާ دليل އެއްގެ ގޮތުންނެވެ. އަދި އިބަރަސްކަލާނގެ އަޅަމެންނަށް ރިޒުގުދެއްވާނދޭވެ! އަދި އިބަރަސްކަލާނގެއީ އެންމެހެޔޮގޮތުގައި ރިޒުގުދެއްވާ ކަލާނގެއެވެ.
قَالَ اللَّهُ = ﷲ وحي ކުރެއްވިއެވެ. إِنِّي مُنَزِّلُهَا عَلَيْكُمْ = ހަމަކަށަވަރުން ތިމަންރަސްކަލާނގެއީ ކަލޭމެންގެމައްޗަށް އޭތި ބާވައިލައްވާނެ ކަލާނގެއެވެ. فَمَن يَكْفُرْ بَعْدُ مِنكُمْ = ފަހެކަލޭމެންކުރެ އެއަށްފަހު ކާފަރުވެއްޖެމީހާ (ދަންނައެވެ!) فَإِنِّي أُعَذِّبُهُ = ފަހެ ހަމަކަށަވަރުން ތިމަންރަސްކަލާނގެ އެމީހަކަށް عذاب ދެއްވާހުށީމެވެ! عَذَابًا = (ގަދަވެގެންވާ) عذاب އެއް. لَّا أُعَذِّبُهُ أَحَدًا = އެފަދަ عذاب އެކަކަށްވެސް ނުދެއްވާވަރުގެ. مِّنَ الْعَالَمِينَ = عَالَمُ ތަކުގެތެރެއިން.,(115) ﷲ تعالى وحي ކުރެއްވިއެވެ. ހަމަކަށަވަރުން ތިމަންރަސްކަލާނގެއީ ކަލޭމެންގެމައްޗަށް އެދޮލަނގު ބާވައިލައްވާނޭ ކަލާނގެއެވެ. ދެންފަހެ އެއަށްފަހު (އެބަހީ: އެދޮލަނގު ބާވައިލެއްވުމަށްފަހު) ކަލޭމެންކުރެ ކާފަރުވެއްޖެމީހާ (ދަންނައެވެ!) ފަހެ ހަމަކަށަވަރުން އެމީހަކަށް މުޅި عَالم ތަކުގެ އެކަކަށްވެސް ތިމަންރަސްކަލާނގެ عذاب ނުދެއްވާ ވަރަށް (އެހާގަދަ عذاب ން) عذاب ދެއްވާހުށީމެވެ.
وَإِذْ قَالَ اللَّهُ = އަދި ﷲ وحي ކުރެއްވިހިނދު. يَا عِيسَى ابْنَ مَرْيَمَ = އޭ مريم ގެފާނުންގެ ދަރިކަލުން عيسى عليه السّلام އެވެ! أَأَنتَ قُلْتَ لِلنَّاسِ = މީސްތަކުންނަށް ވިދާޅުވީ ކަލޭގެފާނުތޯއެވެ؟ اتَّخِذُونِي وَأُمِّيَ = ތިމަންކަލޭގެފާނާއި ތިމަންކަލޭގެފާނުންގެ މަންމާފުޅު ކަލޭމެން ހިފާ إختيار ކުރާށެވެ! إِلَـٰهَيْنِ = ދެ إلهُ ންކަމުގައި. مِن دُونِ اللَّهِ = ﷲ ފިޔަވައި. قَالَ سُبْحَانَكَ = އެކަލޭގެފާނު ދެންނެވިއެވެ. އިބަރަސްކަލާނގެ ހުސް طاهر ވަންތައެވެ. مَا يَكُونُ لِي أَنْ أَقُولَ = މިއަޅާއަށް ބުނުމެއް. (حقّ ވެގެން) ނުވެއެވެ. ހުއްދަވެގެން ނުވެއެވެ. مَا لَيْسَ لِي بِحَقٍّ = މިއަޅާއަށް އެއްވެސް حقّ އެއްނެތްކަމެއް / حقّ އެއްނެތް ވާހަކައެއް. إِن كُنتُ قُلْتُهُ = މިއަޅާ އެފަދަ ވާހަކައެއް ބުނިކަމުގައިވީނަމަ. فَقَدْ عَلِمْتَهُ = ހަމަކަށަވަރުން އިބަރަސްކަލާނގެ އެވާހަކައެއް ދެނެވޮޑިގެންވެއެވެ. تَعْلَمُ مَا فِي نَفْسِي = މިއަޅާގެ نفس ގައިވާކަމެއް / ވާ އެއްޗެއް - އިބަރަސްކަލާނގެ ދެނެވޮޑިގެންވެއެވެ. وَلَا أَعْلَمُ = އަދި މިއަޅާއަށް އެގި ގެންނުވެއެވެ. مَا فِي نَفْسِكَ = އިބަރަސްކަލާނގެ ذات ފުޅުގައިވާ އެއްޗެއް. / އަދިކަމެއްވިޔަސް. إِنَّكَ أَنتَ = ހަމަކަށަވަރުން އިބަރަސްކަލާނގެއީ. عَلَّامُ الْغُيُوبِ = غَيْبُ ތައް ދެނެވޮޑިގަތުން ބޮޑުވެގެންވާ ކަލާނގެއެވެ.,(116) އަދި ﷲ تعالى وحي ކުރެއްވިހިނދު (ހަނދުމަފުޅުކުރައްވާށެވެ!) އެކަލާނގެ وحي ކުރެއްވިއެވެ. އޭ مريم ގެފާނުންގެ ދަރިކަލުން عيسى عليه السّلام އެވެ! މީސްތަކުންގެގާތުގައި ތިމަންކަލޭގެފާނާއި ތިމަންކަލޭގެފާނުންގެ މަންމާފުޅު އެއީ ﷲ ފިޔަވައި ދެ إله ންކަމުގައި ކަލޭމެން ހިފާ إختيار ކުރާށޭ ވިދާޅުވީ ކަލޭގެފާނުތޯއެވެ؟ އެކަލޭގެފާނު ދެންނެވިއެވެ. އިބަރަސްކަލާނގެ ހުސް طاهر ވަންތައެވެ. މިއަޅާއަށް އެއްވެސް حقّ އެއް ނުވާކަމެއްގެ ވާހަކަ މީސްތަކުންނަށް ބުނުމަކީ އެއްގޮތަކަށްވެސް މިއަޅާއަށް ހުއްދަވާނޭކަމެއްނޫނެވެ. މިއަޅާ އެފަދަ އެއްޗެއްބުނިނަމަވެސް ހަމަކަށަވަރުން އިބަރަސްކަލާނގެ އެއެއްޗެއް ދެނެވޮޑިގެންވެއެވެ. މިއަޅާގެ نفس ގައި ވާނަމަވާހާކަމެއް އިބަރަސްކަލާނގެ ދެނެވޮޑިގެންވެއެވެ. އަދި އިބަރަސްކަލާނގެ ذات ފުޅުގައިވާ އެއްވެސް ކަމެއް މިއަޅާއަކަށް ނޭނގެއެވެ. ހަމަކަށަވަރުން އިބަރަސްކަލާނގެއީ غيب ތައް ދެނެވޮޑިގަތުން ބޮޑުވެގެންވާ ކަލާނގެއެވެ.
مَا قُلْتُ لَهُمْ = މިއަޅާ އެމީހުންނަކަށްވިދާޅުނުވަމެވެ. إِلَّا مَا أَمَرْتَنِي بِهِ = އިބަރަސްކަލާނގެ އެކަމަކުން މިއަޅާއަށް أمر ކުރެއްވި ކަންތައްމެނުވީ. أَنِ اعْبُدُوا اللَّهَ = (އެއީ) ކަލޭމެން ﷲ އަށް އަޅުކަންކުރާށެވެ! رَبِّي وَرَبَّكُمْ = އެއީ ތިމަންކަލޭގެފާނާ އަދި ކަލޭމެންގެވެރި رَبّ އެވެ. وَكُنتُ عَلَيْهِمْ شَهِيدًا = އަދި މިއަޅާ އެމީހުންގެމައްޗަށް ހެކިވެރިއަކުކަމުގައި حاضر ވެހުރީމެވެ. مَّا دُمْتُ فِيهِمْ = މިއަޅާ އެމީހުންގެތެރޭ ދެމިހުރިހާހިނދަކު. فَلَمَّا تَوَفَّيْتَنِي = އަދި އިބަރަސްކަލާނގެ މިއަޅާ މަރުގެންނެވިހިނދު. كُنتَ أَنتَ = ކަނޑައެޅިގެން ހަމަ އިބަރަސްކަލާނގެ ވޮޑިގެންފީމުއެވެ. الرَّقِيبَ عَلَيْهِمْ = އެމީހުންގެމައްޗަށްވާ رَقَيْب އަކުކަމުގައި. (އެމީހުންގެ ހުރިހާކަމެއް ބައްލަވާ ރައްކާތެރިކުރައްވާ ކަލަކުކަމުގައި). وَأَنتَ = އަދި އިބަރަސްކަލާނގެ. عَلَىٰ كُلِّ شَيْءٍ شَهِيدٌ = ހުރިހާކަމެއްގެ މައްޗަށް އަދި ހުރިހާއެއްޗެއްގެމައްޗަށް ހެކިވެވޮޑިގަންނަވަމުއެވެ.,(117) އިބަރަސްކަލާނގެ އެކަމަކަށް މިއަޅާއަށް أمر ކުރެއްވިކަމެއްމެނުވީ މިއަޅާ އެމީހުންނަށް ނާންގަމެވެ. ނުބުނަމެވެ. (އެމީހުންނަށް ބުނީ އިބަރަސްކަލާނގެ އެންގެވި أمر ފުޅެވެ. އެއީ) ކަލޭމެން ﷲ އަށް އެކަނި އަޅުކަންކުރާށެވެ! އެއީ ތިމަންކަލޭގެފާނާއި ކަލޭމެންގެވެރި ربّ އެވެ. (މިހެންނެވެ.) އަދި މިއަޅާ އެމީހުންގެތެރޭގައި ވީހިނދު މިއަޅާވީ އެމީހުންގެމައްޗަށް ހެކިވެރިކަމުގައި حاضر ވެގެންނެވެ. ދެންފަހެ އިބަރަސްކަލާނގެ މިއަޅާ މަރުގެންނެވުމުން އެމީހުންގެ ކަންތައް ބައްލަވާ ރައްކާތެރިކުރައްވާ رَقِيْب އަކުކަމުގައި ވޮޑިގެންވީ ހަމަ އިބަރަސްކަލާނގެއެވެ. އަދި އިބަރަސްކަލާނގެ ހުރިހާކަމެއްގެމައްޗަށް ހެކިވެވޮޑިގެންވެއެވެ.
إِن تُعَذِّبْهُمْ = އިބަރަސްކަލާނގެ އެމީހުންނަށް عذاب ދެއްވިނަމަވެސް. فَإِنَّهُمْ عِبَادُكَ = ފަހެ ހަމަކަށަވަރުން އެމީހުންނީ އިބަރަސްކަލާނގެ އަޅުންނެވެ. وَإِن تَغْفِرْ لَهُمْ = އަދި އިބަރަސްކަލާނގެ އެމީހުންނަށް ފާފަފުއްސެވިއްޔާވެސް. فَإِنَّكَ أَنتَ = ފަހެ ހަމަކަށަވަރުން އިބަރަސްކަލާނގެއީ. الْعَزِيزُ الْحَكِيمُ = عزّة ވަންތަ حكمة ވަންތަ ކަލާނގެއެވެ.,(118) އިބަރަސްކަލާނގެ އެމީހުންނަށް عذاب ދެއްވިނަމަވެސް [ހަމަކަށަވަރުން އެއީވެސް އިބަރަސްކަލާނގެ އަޅުންނެވެ.] (އެއީވެސް ހަމަ حقّ އެވެ.) އަދި އިބަރަސްކަލާނގެ އެމީހުންނަށް ފާފަފުއްސެވިއްޔާވެސް [ހަމަކަށަވަރުން އިބަރަސްކަލާނގެއީ عزّة ވަންތަ (އެބަހީ: ގަދަފަދަވަންތަ) حكمة ވަންތަ ކަލާނގެއެވެ. (އެއީ އިބަރަސްކަލާނގެ رحمة އާއި فضل ވަންތަކަމެވެ.)]
قَالَ اللَّهُ = ﷲ وحي ކުރެއްވިއެވެ. هَـٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ = މިއަދަކީ ތެދުވެރިންނަށް مَنْفَعَ ކުރާނޭ ދުވަހެވެ. صِدْقُهُمْ = އެމީހުންގެ ތެދުން. لَهُمْ جَنَّاتٌ = އެމީހުންނަށްހުރީ ހަމަ ސުވަރުގެތަކެވެ. تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ = އެތަންތާނގެ ދަށުން އާރުތައްދެމޭ. خَالِدِينَ فِيهَا أَبَدًا = އެމީހުން އެތާ އަބަދު ދެމިތިބޭނެއެވެ. رَّضِيَ اللَّهُ عَنْهُمْ = ﷲ އެމީހުންނަށް ރުއްސުންލެއްވިއެވެ. وَرَضُوا عَنْهُ = އަދި އެމީހުން އެކަލާނގެއަށް ރުހިގެންވެއެވެ. ذَٰلِكَ الْفَوْزُ الْعَظِيمُ = ބޮޑުވެގެންވާ ނަސީބަކީ އެއީއެވެ.,(119) ﷲ تعالى وحي ކުރެއްވިއެވެ. (އެބަހީ: قيامة ދުވަހުން ﷲ وحي ކުރައްވާނެއެވެ.) މިއަދަކީ ތެދުވެރިންނަށް އެމީހުންގެ ތެދުވެރިކަން އެމީހުންނަށް مَنْفَعَ ކޮށްދޭނޭ ދުވަހެވެ. އެމީހުންނަށް އެދުވަހުން ހުރީ އެތަންތާނގެދަށުން އާރުތައްދެމޭ ބަގީޗާތަކާއި (އެބަހީ: ސުވަރުގެތަކާއި) އެތާނގެ نعمة އެވެ. އެމީހުން ދާއިމީގޮތެއްގައި އެތާ ދެމިތިބޭނޭގޮތުންނެވެ. އަދި އެމީހުންނަށް ﷲ ރުއްސުންލައްވައި އަދި އެމީހުންވެސް ﷲ އަށް ރުހިގެންވެއެވެ. ބޮޑުވެގެންވާ ނަސީބަކީ އެއީއެވެ.
لِلَّهِ مُلْكُ السَّمَاوَاتِ وَالْأَرْضِ = އުޑުތަކާއި ބިމުގެ مِلْكُ خاصّ ވެ ލިބިވޮޑިގެންވަނީ ﷲ އަށެވެ. وَمَا فِيهِنَّ = އަދި އެތަންތާނގައިވާހާ ތަކެއްޗާއި. وَهُوَ = އަދި އެކަލާނގެއީ. عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ = ހުރިހާކަމެއްގެމައްޗަށް ކުޅަދުންވަންތަވެވޮޑިގެންވާކަލާނގެއެވެ.,(120) އުޑުތަކާއި ބިމުގެ މުޅިވެރިކަމާއި އަދި އެތަންތާނގައިވާހާއެއްޗެއް خاصّ ވެ މިލްކުވެގެންވަނީ ހަމަ ﷲ އަށެވެ. (ކަލޭމެން ތިޔަހީކުރާގޮތަކަށް عيسى عليه السّلام އަށާއި އެކަލޭގެފާނުންގެ މަންމާފުޅަކަށް އަދި އެހެން އެއްވެސް مخلوق އަކަށް ނޫނެވެ.) އަދި އެކަލާނގެ ހުރިހާކަމެއްގެމައްޗަށް ކުޅަދުންވަންތަވެވޮޑިގެންވެއެވެ.
الْحَمْدُ لِلَّهِ = އެންމެހައި تعريف އާއި ثناء އެއް خاصّ ވެގެންވަނީ ﷲ އަށެވެ. الَّذِي = އެކަލާނގެއީ. خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ = އުޑުތަކާއި ބިންހެއްދެވި ކަލާނގެއެވެ. وَجَعَلَ الظُّلُمَاتِ وَالنُّورَ = އަދި އެކަލާނގެ އަނދިރިކަމާއި އަލިކަން ލެއްވިއެވެ. (ހެއްދެވިއެވެ.) ثُمَّ الَّذِينَ كَفَرُوا = ދެން ކާފަރުވީ މީސްތަކުން. بِرَبِّهِمْ = އެބައިމީހުންގެ رَبّ އާއި. يَعْدِلُونَ = شريك ކޮށް ބައިވެރިކޮށް ހަމަހަމަކުރަނީއެވެ.,(1) އެންމެހައި حمد އާއި تعريف އާއި ثناء އެއް خاصّ ވެގެންވަނީ ﷲ އަށެވެ. އެކަލާނގެއީ އުޑުތަކާއި ބިންހެއްދެވި ކަލާނގެއެވެ. އަދި އަނދިރިކަމާއި އަލިކަން އެކަލާނގެ ލެއްވިއެވެ. (އެއީ ރޭގަނޑުގެ އަނދިރިކަމާއި ދުވާލުގެ އަލިކަން ނުވަތަ ޖާހިލުކަމުގެ އަނދިރިކަމާއި އީމާންކަމުގެ އަލިކަން.) ދެން (މިފަދަ ބޮޑު ކުޅަދުންވަންތަ އެއްކައުވަންތަ ﷲ އަށް) يعني: އެމީހުންގެ رَبّ އަށް ކާފަރުންގެ މީހުން شريك ކޮށް ބައިވެރިކޮށް އެހެނިހެން ފަރަތްތަކާއި ހަމަހަމަކުރަނީއެވެ.
هُوَ الَّذِي = ހަމަ އެކަލާނގެއެވެ. خَلَقَكُم = ކަލޭމެން ހެއްދެވީ. مِّن طِينٍ = މަށީން. ثُمَّ قَضَىٰ أَجَلًا = ދެން އެކަލާނގެ مُدَّة އެއް ނިޔާކުރެއްވިއެވެ. (އެއީ ދުނިޔޭގެ حياة އެވެ.) وَأَجَلٌ مُّسَمًّى عِندَهُ = އަދި އެކަލާނގެ حضرة ގައި ނަންކިއިގެންވާ مُدَّة އަކާއި (އެއީ آخرة ދުވަހެވެ.) ثُمَّ أَنتُمْ تَمْتَرُونَ = ދެން ކަލޭމެން (ކާފަރުން) ޝައްކު ކުރަނީއެވެ.,(2) ކަލޭމެން މަށީން ހެއްދެވީ ހަމަ އެކަލާނގެއެވެ. (އެބަހީ: آدم ގެދަރިންގެ ބައްޕަ آدم عليه السّلام ހެއްދެވުނީ މަށީންނެވެ.) ދެން އެކަލާނގެ މުއްދަތެއް ކަނޑައެޅުއްވިއެވެ. (އެއީ ދުނިޔޭގެ حياة ގެ مدّة އެވެ. އެއީ ހެއްދެވުމަށްފަހު މަރުވަންދެންނެވެ.) އަދި އެކަލާނގެ حضرة ގައި ނަންކިއިގެންވާ مدّة އެއް ނިޔާކުރެއްވިއެވެ. އެއީ آخرة އެވެ. މަރުވުމަށްފަހު قيامة އަށް ފޮނުއްވުމެވެ. ދެންވެސް ކަލޭމެން (އެކަލާނގެ قدرة ތެރިކަމާއިމެދު) ޝައްކުކުރަނީއެވެ.
وَهُوَ اللَّهُ = އަދި ހަމަ ﷲ އެވެ. فِي السَّمَاوَاتِ وَفِي الْأَرْضِ = އުޑުތަކުގައިވެސް އަދި ބިމުގައިވެސް. (އެބަހީ: އުޑުތަކާއި ބިމުގައިވެސް مَعْبُود އަކީ، އަދި ވެރިއަކީ ހަމަ ﷲ އެވެ.) يَعْلَمُ = އެކަލާނގެ ދެނެވޮޑިގަންނަވައެވެ. سِرَّكُمْ وَجَهْرَكُمْ = ކަލޭމެންގެސިއްރާއި އަދި ކަލޭމެންގެ ފައުޅު. وَيَعْلَمُ = އަދި އެކަލާނގެ ދެނެވޮޑިގަންނަވައެވެ. مَا تَكْسِبُونَ = ކަލޭމެންކުރާ عَمَلُ ތައް.,(3) އަދި ﷲ އެއީ އުޑުތަކާއި އަދި ބިމުގެ مَعْيُود އެވެ. އަދި އެތަންތާނގެ مالك އެވެ. ވެރިޔާއެވެ. ކަލޭމެންގެ ސިއްރާއި ފައުޅު އެކަލާނގެ ދެނެވޮޑިގަންނަވައެވެ. (ސިއްރުން ދައްކާ ވާހަކައާއި ކުރާކަންތައްތައް އަދި ފައުޅުކޮށް އަޑުހަރުކޮށް ދައްކާ ވާހަކަތަކާއި ކަންތައްތައް އެކަލާނގެ ދެނެވޮޑިގަންނަވައެވެ.) އަދި ކަލޭމެންކުރާހާކަމެއް އެކަލާނގެ ދެނެވޮޑިގަންނަވައެވެ.
وَمَا تَأْتِيهِم = އަދި އެމީހުން ކައިރިއަށް ނާދެއެވެ. مِّنْ آيَةٍ = އެއްވެސް دليل އެއް حجّة އެއް. مِّنْ آيَاتِ رَبِّهِمْ = އެމީހުންގެ رَبّ ގެ އާޔަތްތަކުގެތެރެއިން. إِلَّا كَانُوا عَنْهَا = އެމީހުން އެތަކެއްޗާއިމެދު ވެއްޖެކަމުގައިވާ މެނުވީ. مُعْرِضِينَ = އެނބުރިފުރަގަސްދީގެން.,(4) އަދި އެމީހުންގާތަށް (އެބަހީ: ކާފަރުންގެ ގާތަށް އެމީހުންގެ رَبُّ ގެ އެއްކައުވަންތަކަމުގެމައްޗަށް دليل ކުރާ އަދި محمّد ﷺ ގެ ނަބީކަމުގެމައްޗަށް دليل ކުރާ) دليل ތަކުގެތެރެއިން އެއްވެސް دليل އެއް، حجّة އެއް އަތުވެއްޖެއްޔާ އެމީހުން އެޔާ ފުރަގަސްދީ ގެން މެނުވީ ނުވެއެވެ. (އެބަހީ: އެއިން އެއްވެސް دليل އެއް قبول އެއް ނުކުރެއެވެ.)
فَقَدْ كَذَّبُوا = ފަހެ ހަމަކަށަވަރުން އެމީހުންދޮގުކޮށްފިއެވެ. بِالْحَقِّ = حقّ (އެއީ قرآن އެވެ. / ނުވަތަ محمّد ﷺ އެވެ.) لَمَّا جَاءَهُمْ = އެމީހުން ކައިރިޔަށް އައިހިނދުން. فَسَوْفَ يَأْتِيهِمْ = ފަހެ ނިކަންހުރެ އެމީހުންގެ ކައިރިޔަށް އަންނަހުއްޓެވެ. أَنبَاءُ = خبر ތައް. مَا كَانُوا بِهِ يَسْتَهْزِئُونَ = އެމީހުން އެކަމަކާއި މެދު މަލާމާތްކުރާކަމުގައިވީ ކަންތަކުގެ.,(5) އަދި ހަމަކަށަވަރުން އެމީހުންގެގާތަށް حقُّ އައިހިނދުން (އެބަހީ: قرآن އައިހިނދުން ނުވަތަ محمّد ﷺ ވަޑައިގެންނެވިހިނދުން) އެމީހުން އެ حقُّ ދޮގުކޮށްފިއެވެ. އެމީހުން އެ އެއްޗަކަށް އެމަލާމާތްކުރާ ކަންތަކުގެ خبر ނިކަންހުރެ އެމީހުންގާތަށް އަންނަހުއްޓެވެ.
