bodyAR,bodyDV,foot
﴿يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ إِذَا قُمۡتُمۡ إِلَى ٱلصَّلَوٰةِ فَٱغۡسِلُواْ وُجُوهَكُمۡ وَأَيۡدِيَكُمۡ إِلَى ٱلۡمَرَافِقِ وَٱمۡسَحُواْ بِرُءُوسِكُمۡ وَأَرۡجُلَكُمۡ إِلَى ٱلۡكَعۡبَيۡنِ...﴾.,"﴿يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ إِذَا قُمۡتُمۡ إِلَى ٱلصَّلَوٰةِ فَٱغۡسِلُواْ وُجُوهَكُمۡ وَأَيۡدِيَكُمۡ إِلَى ٱلۡمَرَافِقِ وَٱمۡسَحُواْ بِرُءُوسِكُمۡ وَأَرۡجُلَكُمۡ إِلَى ٱلۡكَعۡبَيۡنِ...﴾ 
 މާނައީ: ""އޭ އީމާންވެއްޖެ މީސްތަކުންނޭވެ. ތިޔަބައިމީހުން ނަމާދަށް ތެދުވެއްޖެނަމަ، (އެބަހީ: ނަމާދުކުރާން ޤަޞްދުކޮށްފިނަމަ) ފަހެ ތިޔަބައިމީހުންގެ މޫނުތަކާއި، އަދި ތިޔަބައިމީހުންގެ އަތްތައް، އުޅަނބޮށިތަކާ ހަމައަށް ދޮންނާށެވެ. އަދި ތިޔަބައިމީހުންގެ ބޯތަކުގައި (ފެން) ފުހޭށެވެ. އަދި ތިޔަބައިމީހުންގެ ފައިތައް ދެތަނބިކަށްޓާ ހަމައަށް ދޮންނާށެވެ...""",
[المائدة: 6].,[އަލް-މާއިދާ: 6],
الآية.,މި އާޔަތެވެ.,
وقول النبي ﷺ:,އަދި ނަބިއްޔާ ﷺ ގެ މިބަސްފުޅެވެ:,
(لا تُقْبَلُ صَلَاةٌ بِغَيْرِ طُهُورٍ) [2].,"(لا تُقْبَلُ صَلَاةٌ بِغَيْرِ طُهُورٍ) 
 މާނައީ: ""ޠާހިރުވުމާ ނުލައި ނަމާދެއް ޤަބޫލުނުވާ ހުއްޓެވެ."" [2]",
[2] رواه مسلم، برقم (224).,[2] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (224) ގައެވެ.,
وقوله ﷺ للذي أساء صلاته:,އަދި އޭނާގެ ނަމާދު ގޯސްކޮށް ކުރި މީހާއަށް އެކަލޭގެފާނު ﷺ ޙަދީޘްކުރެއްވި ބަސްފުޅެވެ:,
(‌إِذَا ‌قُمْتَ ‌إِلَى ‌الصَّلَاةِ، ‌فَأَسْبِغِ ‌الْوُضُوءَ) [3].,"(‌إِذَا ‌قُمْتَ ‌إِلَى ‌الصَّلَاةِ، ‌فَأَسْبِغِ ‌الْوُضُوءَ) މާނައީ: ""ތިބާ ނަމާދަށް ތެދުވެއްޖެހިނދު (އެބަހީ: ތިބާ ނަމާދު ކުރުމަށް ޤަޞްދުކޮށްފިހިނދު)، ފަހެ ތިބާ ވުޟޫކުރުމުގައި އިސްބާޣުކުރާށެވެ."" [3]",
[3] رواه البخاري، برقم (5782).,[3] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (5782) ގައެވެ.,
2- يتوجه المصلي إلى القبلة، وهي الكعبة أينما كان بجميع بدنه قاصدًا بقلبه فعل الصلاة التي يريدها من فريضة أو نافلة، ولا ينطق بلسانه بالنية؛ لأن النطق باللسان غير مشروع، بل بدعة لكون النبي ﷺ لم ينطق بالنية ولا أصحابه رضي اللّه عنهم، ويجعل له سترة يصلي إليها إن كان إمامًا أو منفردًا، واستقبال القبلة شرط في الصلاة إلا في مسائل مستثناة معلومة موضحة في كتب أهل العلم.,2- ނަމާދުކުރާމީހާ ޤިބްލައަށް ކުރިމަތިލާނީއެވެ. އެއީ އޭނާ ކޮންމެ ތަނެއްގައި ހުއްޓަސް، ކަޢްބާއާ ދިމާލަށެވެ. އެއީ އޭނާގެ މުޅި ހަށިގަނޑު އެދިމާލަށް އަނބުރައި، އޭނާ ކުރަން ބޭނުންވާ ނަމާދެއް ކުރުމަށް ހިތުން ޤަޞްދުކޮށްގެންނެވެ. އެއީ ފަރްޟު ނަމާދެއްވިޔަސް ނުވަތަ ނާފިލާ (ސުންނަތް) ނަމާދެއް ކަމުގައި ވިޔަސްމެއެވެ. އަދި އޭނާގެ ދުލުން ނިޔަތް ނުކިޔާ ހުއްޓެވެ. އެހެނީ ހަމަކަށަވަރުން، ދުލުން ނިޔަތް ކިޔުން ޝަރުޢުވެގެން ނުވެއެވެ. ކިއެއްހެއްޔެވެ. އެއީ ބިދުޢައެކެވެ. އެއީ ނަބީ ﷺ ވެސް އަދި އެކަލޭގެފާނުގެ އަޞްޙާބުން رضي الله عنهم ވެސް ނިޔަތް ކިޔުއްވާފައި ނުވާތީއެވެ. އަދި އޭނާ އިމާމެއްގެ ގޮތުގައި ނުވަތަ އެކަނި ނަމާދުކުރާ މީހެއްނަމަ އެއާ ދިމާލަށް ކުރިމަތިލައިގެން ނަމާދުކުރުމަށް ސުތުރާއެއް ނަގާހުށިކަމެވެ. އަދި ޤިބްލައަށް ކުރިމަތިލުމަކީ، ނަމާދުގެ ޝަރުޠެކެވެ. އެއީ ޢިލްމުގެ އަހްލުވެރިންގެ ފޮތްތަކުގައި ސާފުކޮށް ބަޔާންކުރެވި އެނގިގެންވާ އިސްތިޘްނާއީ މައްސަލަތަކުގައި (އިސްތިޘްނާއީ ޙާލަތްތައް) ފިޔަވައެވެ.,"ސުތުރާ: ސުތުރާއަކީ، ނަމާދުކުރާ މީހާ، އޭނާ ނަމާދުކުރާއިރުގައި، އޭނާގެ ކުރިމަތިން ހުރަސްކުރުން ހުއްޓުވުމަށްޓަކައި، އޭނާގެ ކުރިމަތީގައި ލެވޭ ނުވަތަ ބެހެއްޓޭ އެއްޗެކެވެ. އެއީ ދަނޑިއެއް ނުވަތަ ގޮނޑިއެއް ނުވަތަ ޢަޞާއެއް ނުވަތަ ލޮންސިއެއް ނުވަތަ ދުނިދަނޑިއެއް ނުވަތަ ގަހެއް ނުވަތަ ތަނބެއް ނުވަތަ ފާރެއް ނުވަތަ ބިތެއް ނުވަތަ އެފަދަ ކޮންމެ އެއްޗެކެވެ. ނުވަތަ ސަވާރީވިޔަސް ނޫނީ ފުރަގަސްދީގެން އިން މުސްލިމެއްގެ ފަހަތުގައެވެ. އަދި ސުތުރާއަށް ބޭނުންކުރާ އެތީގެ ދިގު މިނުގައި އެންމެ ކުޑަވެގެން ކައިވަތެއްވަރު ހުރުން އެންމެ ރަނގަޅެވެ. ދެން އެއްޗެއް ނެތް ތަނުގައި އެންމެ ކުޑަމިނުން ރޮނގެއް ދަމާލުންވެސް ރަނގަޅެވެ.
 އިސްތިޘްނާއީ ޙާލަތްތަކަކީ: މިޘާލަކަށް ދަތުރެއް މަތީގައި ޤިބްލަ ނޭނގުން ނުވަތަ ބައްޔެއްގެ ސަބަބުން ހިރިނުލެވި ޤިބްލައަށް ކުރިމަތިލުމަށް ނުކުޅެދުންފަދަ ކަންކަމެވެ."
3- يكبر تكبيرة الإحرام قائلًا: الله أكبر، ناظرًا ببصره إلى محل سجوده.,"3- ޙަރަމް ބަންނަ ތަކްބީރު ކިޔާނީއެވެ. އެއީ މިފަދައިން ކިޔަމުންނެވެ: (اللهُ أَكْبَرُ) މާނައީ: ""އެންމެ ބޮޑީ ﷲ އެވެ."" އެއީ އޭނާ ސަޖިދަ ޖަހާ ތަނަށް އޭނާގެ ލޮލުން ބަލަމުންނެވެ.",
4- يرفع يديه عند التكبير إلى حذو منكبيه أو إلى حيال أذنيه.,4- ތަކްބީރު ކިޔާހިނދު އޭނާގެ ދެ އަތް އޭނާގެ ދެ ކޮނޑާ ހަމައަށް ނުވަތަ އޭނާގެ ދެ ކަންފަތުގެ ފޫޅާ ހަމައަށް އުފުލުމެވެ.,
5- يضع يديه على صدره، اليمنى على كفه اليسرى والرسغ والساعد؛ لثبوت ذلك عن النبي ﷺ.,5- އޭނާގެ މޭ މަތީގައި އޭނާގެ ދެ އަތް ބާއްވާނީއެވެ. އެއީ އޭނާގެ ކަނާއަތް އޭނާގެ ވައަތްތިލައިގެ މަތީގައި، އަދި އަތުގެ ކުޑަހުޅުގެ މަތީގައި، އަދި އަތްދަނޑި މަތީގައި ބާއްވައިގެންނެވެ. އެކަންކަން ނަބީ ﷺ ގެ އަރިހުން ޘާބިތުވެގެންވުމުންނެވެ.,"އަތުގެ ކުޑަހުޅަކީ: ގިއުޅަބިއެވެ. އެއީ އަތުކުރި ނުވަތަ އަތުގެ ކުޑަހުޅު ޙިސާބެވެ. ނުވަތަ އަތްދަނޑީގެ ކުރީކޮޅެވެ. އެއީ ޢާއްމުކޮށް އަތުގައި އަޅާ އުޅާ ތަނޑިބައިފަދަ ތަކެތި އަޅާ ޙިސާބެވެ.
 އަތްދަނޑިއަކީ: ކުރައިދީ ނުވަތަ ތުޅުލުއެވެ. އެއީ އަތުގެ އުޅަބޮށިން ފެށިގެން ގޮސް ކުޑަހުޅާ ދެމެދުގައިވާ ބައެވެ."
6- يسن أن يقرأ دعاء الاستفتاح وهو:,6- ނަމާދު ހުޅުވާލާ ދުޢާ ކަމުގައިވާ (ދުޢާއުލް-އިސްތިފްތާޙު) ކިޔުން ސުންނަތް ވެގެންވެއެވެ. އެ ދުޢާއީ:,
(اللَّهُمَّ بَاعِدْ بَيْنِي وبيْنَ خَطَايَايَ، كما بَاعَدْتَ بيْنَ المَشْرِقِ والمَغْرِبِ، اللَّهُمَّ نَقِّنِي مِنَ الخَطَايَا كما يُنَقَّى الثَّوْبُ الأبْيَضُ مِنَ الدَّنَسِ، اللَّهُمَّ اغْسِلْ خَطَايَايَ بالمَاءِ والثَّلْجِ والبَرَدِ) [4].,"(اللَّهُمَّ بَاعِدْ بَيْنِي وبيْنَ خَطَايَايَ، كما بَاعَدْتَ بيْنَ المَشْرِقِ والمَغْرِبِ، اللَّهُمَّ نَقِّنِي مِنَ الخَطَايَا كما يُنَقَّى الثَّوْبُ الأبْيَضُ مِنَ الدَّنَسِ، اللَّهُمَّ اغْسِلْ خَطَايَايَ بالمَاءِ والثَّلْجِ والبَرَدِ) މާނައީ: ""އޭ ﷲ އެވެ! މަޝްރިޤާއި މަޣްރިބާ ދޭތެރެ އިބަ އިލާހު ދުރުކުރެއްވި ފަދައިން، މިއަޅާއާއި މިއަޅާގެ ކުށްފާފަތަކާ ދޭތެރެ ދުރުކޮށްދެއްވާނދޭވެ! އޭ ﷲ އޭވެ! ހުދު ހެދުމެއް ހަޑި މިލައިން ސާފުކުރެވޭ ފަދައިން، މިއަޅާގެ ކުށްފާފަތަކުން މިއަޅާ ސާފުޠާހިރުކޮށްދެއްވާނދޭވެ! އޭ ﷲ އޭވެ! ފެނާއި، ސުނޯއާއި ގަނޑުފެނުން މިއަޅާގެ ކުށްފާފަތައް ދޮވެދެއްވާނދޭވެ!"" [4]","މަޝްރިޤު ފަރާތް: އިރުއަރާ ފަރާތް ނުވަތަ އިރުމަތީ ފަރާތް
 މަޣްރިބު ފަރާތް: އިރުއޮއްސޭ ފަރާތް ނުވަތަ ހުޅަނގު ފަރާތް"
[4] رواه البخاري، برقم (744)، ومسلم، برقم (598).,[4] އެ ޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (744) ގައެވެ. އަދި މުސްލިމްއެވެ. އެއީ ނަމްބަރު (598) ގައެވެ.,
وإن شاء قال بدلًا من ذلك:,އަދި އޭނާ ބޭނުންނަމަ، (އިހު ނަންގަނެވުނު) އެ ދުޢާގެ ބަދަލުގައި މި ދުޢާ ކިޔިދާނެއެވެ:,
(سُبْحَانَكَ اللَّهُمَّ وبِحَمْدِكَ، وَتَبَارَكَ اسْمُكَ، وَتَعَالَى جَدُّكَ، ولَا إلَهَ غَيْرُكَ) [5]،,"(سُبْحَانَكَ اللَّهُمَّ وبِحَمْدِكَ، وَتَبَارَكَ اسْمُكَ، وَتَعَالَى جَدُّكَ، ولَا إلَهَ غَيْرُكَ) މާނައީ: ""އިބަ އިލާހުގެ ހުސްޠާހިރުވަންތަކަމާއެވެ! އޭ ﷲ އެވެ! އަދި އިބަ އިލާހަށް އެންމެހާ ޙަމްދެއް ހުއްޓެވެ. އަދި އިބަ އިލާހުގެ ނަންފުޅު ބަރަކާތްތެރިވެގެންވެއެވެ. އަދި އިބަ އިލާހުގެ އަރަހުށިކަން މަތިވެރިވެގެންވެއެވެ. އަދި އިބަ އިލާހު ފިޔަވައި (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ.""",
وإن أتى بغيرهما من الاستفتاحات الثابتة عن النبي ﷺ فلا بأس، والأفضل أن يفعل هذا تارة وهذا تارة؛ لأن ذلك أكمل في الاتباع، ثم يقول: أعوذ باللّه من الشيطان الرجيم، بسم الله الرحمن الرحيم، ويقرأ سورة الفاتحة، لقوله:,"އަދި އެ ދެދުޢާ ނޫންވެސް، ނަބީ ﷺ ގެ އަރިހުން ޘާބިތުވެގެންވާ، ނަމާދު ހުޅުވާލާ އިސްތިފްތާޙު ދުޢާއެއް އޭނާ ގެނެސް ކިޔުމަކުންވެސް، ފަހެ މައްސަލައެއް ނެތެވެ. އަދި އެންމެ މޮޅުއިތުރު ގޮތަކީ، އެއްފަހަރު އެދުޢާ ކިޔާފައި އަދި އަނެއްފަހަރު މިދުޢާ ކިޔުމެވެ. އެހެނީ ތަބަޢަވުމުގައި އެންމެ ފުރިހަމަ ގޮތަކީ އެއީއެވެ. ދެން އޭނާ ކިޔާނީ: (أعوذ باللّه من الشيطان الرجيم، بسم الله الرحمن الرحيم) މާނައީ: ""ރަޙްމަތުން ދުރުކުރެވިފައިވާ (ލަޢްނަތް ލެއްވިގެންވާ) ޝައިޠާނާގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވުމަށް އެދި، ﷲ ގެ ޙަޟްރަތުން މިއަޅާ ދަންނަވަމެވެ. ﷲ، އައް-ރަޙްމާން، އައް-ރަޙީމުގެ ނަންފުޅުން (ފަށަމެވެ.)"" ދެން އަލް-ފާތިޙާ ސޫރަތް ކިޔަވާނީއެވެ. އެއީ އެކަލޭގެފާނުގެ މިބަސްފުޅަށްޓަކައެވެ:",
(لَا صَلَاةَ لِمَنْ لَمْ يَقْرَأْ بفَاتِحَةِ الكِتَابِ) [6].,"(لَا صَلَاةَ لِمَنْ لَمْ يَقْرَأْ بفَاتِحَةِ الكِتَابِ) މާނައީ: ""ފޮތުގެ ހުޅުވާލުން (އެބަހީ: ސޫރަތުލް-ފާތިޙާ) ނުކިޔަވާ މީހަކަށް، ނަމާދެއް ނުވެއެވެ."" [6]",
ويقول بعدها- آمين- جهرًا في الصلاة الجهرية، وسرًا في السرية، ثم يقرأ ما تيسر له من القرآن، والأفضل أن يقرأ بعد الفاتحة في الظهر والعصر والعشاء من أوساط المفصل، وفي الفجر من طواله، وفي المغرب تارة من طواله، وتارة من قصاره عملًا بالأحاديث الواردة في ذلك.,އަދި އެއަށްފަހުގައި - آمين - ކިޔާނީއެވެ. ޖަހްރިއްޔާ ނަމާދުތަކުގައި އަޑުހަރުކޮށެވެ. އަދި ސިއްރިއްޔާ ނަމާދުތަކުގައި އަޑުމަޑުކޮށެވެ. ދެން އެއަށްފަހުގައި، ޤުރްއާނުން އޭނާއަށް ފަސޭހަވީ މިންވަރެއް އޭނާ ކިޔަވާނީއެވެ. އަދި އެންމެ މޮޅުއިތުރުވެގެންވަނީ، މެންދުރު، ޢަޞްރު އަދި ޢިޝާ ނަމާދުތަކުގައި، އަލް-ފާތިޙާއަށް ފަހުގައި، މުފައްޞަލު ސޫރަތްތަކުން ކުރެ މެދުމިންވަރުގެ ސޫރަތްތައް ކިޔެވުމެވެ. އަދި ފަތިސް ނަމާދުގައި، އެމުފައްޞަލު ސޫރަތްތަކުން ކުރެ ދިގު ސޫރަތްތައް ކިޔެވުމެވެ. އަދި މަޣްރިބު ނަމާދުގައި، އެއްބައިފަހަރު މުފައްޞަލު ސޫރަތްތަކުން ކުރެ ދިގު ސޫރަތްތައް، އަނެއްބައިފަހަރު، އޭގެ ކުރު ސޫރަތްތައް ކިޔެވުމެވެ. އެއީ އެކަމަށް ވާރިދުވެފައިވާ ޙަދީޘްތަކަށް ޢަމަލުކުރުމުގެ ގޮތުންނެވެ.,"آمين (އާމީން): ﷲ އޭވެ! އަޅުގެ ދުޢާ އިޖާބަ ކުރައްވާށިއެވެ.
 ޖަހްރިއްޔާ ނަމާދު: އަޑުހަރުކޮށް ބާރަށް ކިޔަވާ ނަމާދުތައް، މިޘާލަކަށް: ފަތިސް، މަޣްރިބު، ޢިޝާ، ހުކުރު، ޢީދު
 ސިއްރިއްޔާ ނަމާދު: އަޑުމަޑުކޮށް ސިއްރުން ކިޔަވާ ނަމާދުތައް، މިޘާލަކަށް: މެންދުރު، ޢަޞްރު
 މުފައްޞަލު ސޫރަތްތައް: އެއީ ޤާފު ސޫރަތުން ފެށިގެންގޮސް އައް-ނާސް ސޫރަތުގެ ނިޔަލަށްވާ ސޫރަތްތަކެވެ. އައް-ޝައިޚު އިބްނު ޢުޘައިމީން ވިދާޅުވިއެވެ. “މުފައްޞަލުގެ ދިގު ސޫރަތްތަކަކީ، ޤާފު ސޫރަތުން ފެށިގެންގޮސް އައް-ނަބައު ސޫރަތާ ހަމައަށެވެ. އަދި މުފައްޞަލުގެ މެދުމިންވަރުގެ ސޫރަތްތަކަކީ، އައް-ނަބައު ސޫރަތުން ފެށިގެންގޮސް އައް-ޟުޙާ ސޫރަތާ ހަމައަށެވެ. އަދި މުފައްޞަލުގެ ކުރު ސޫރަތްތަކަކީ، އައް-ޟުޙާ ސޫރަތުން ފެށިގެންގޮސް އައް-ނާސް ސޫރަތުގެ ނިޔަލަށެވެ."" [الشرح الممتع على زاد المستقنع للشيخ ابن عثيمين (3/75)]"
[5] رواه مسلم، برقم (399).,[5] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (399) ގައެވެ.,
[6] رواه البخاري، برقم (756).,[6] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (756) ގައެވެ.,
7- يركع مكبرًا رافعًا يديه إلى حذو منكبيه أو أذنيه جاعلًا رأسه حيال ظهره واضعًا يديه على ركبتيه مفرقًا أصابعه، ويطمئن في ركوعه، ويقول: سبحان ربي العظيم. والأفضل أن يكررها ثلاثًا أو أكثر، ويستحب أن يقول مع ذلك:,"7- އޭނާގެ ދެއަތް، ދެކޮނޑާ ހަމައަށް ނުވަތަ ދެކަންފަތުގެ ފޫޅާ ހަމައަށް އުފުލަމުން، އޭނާގެ ބޯ ބުރަކައްޓާ އެއްހަމަކޮށް ބާއްވާގޮތަށް، އޭނާގެ ދެއަތް، އިނގިލިތައް ދުރުކޮށް ފޭކޮށްގެން ދެ ކަކޫމަތީގައި ބާއްވާގޮތަށް، ތަކްބީރުކިޔަމުން ރުކޫޢުކުރާނީއެވެ. އަދި އޭނާގެ ރުކޫޢުގައި މަޑުވެލައި ހަމަޖެހިލާހުއްޓެވެ. އަދި ކިޔާނީ: (سبحان ربي العظيم) މާނައީ: ""މިއަޅާގެ އަރަހުށި ހައިބަތު ބޮޑުވެގެންވާ (އަޡަމަތްވަންތަ ބޮޑުވެގެންވާ) ރައްބުގެ ހުސްޠާހިރުވަންތަ ކަމާއެވެ!"" އެންމެ މޮޅުއިތުރު ގޮތަކީ، އެފަދައިން ތިން ފަހަރު ތަކްރާރުކުޅައުމެވެ. ނުވަތަ އެއަށްވުރެ ގިނައިންނެވެ. އަދި އެއާއެކުގައި މިފަދައިން ކިޔުން މުސްތަޙައްބުވެގެންވެއެވެ:",
(‌سُبْحَانَكَ ‌اللهُمَّ ‌وَبِحَمْدِكَ، ‌اللهُمَّ ‌اغْفِرْ ‌لِي) [7].,"(‌سُبْحَانَكَ ‌اللهُمَّ ‌وَبِحَمْدِكَ، ‌اللهُمَّ ‌اغْفِرْ ‌لِي) މާނައި: ""އިބަ އިލާހުގެ ހުސްޠާހިރުވަންތަކަމާއެވެ! އޭ ﷲ އޭވެ! އަދި އިބަ އިލާހަށް އެންމެހާ ޙަމްދެކެވެ. އޭ ﷲ އޭވެ! މިއަޅާއަށް (ފާފަ) ފުއްސަވާނދޭވެ!"" [7]",
[7] رواه البخاري، برقم (817)، ومسلم، برقم (484).,[7] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (817) ގައެވެ. އަދި މުސްލިމްއެވެ. އެއީ ނަމްބަރު (484) ގައެވެ.,
8- يرفع رأسه من الركوع رافعًا يديه إلى حذو منكبيه أو أذنيه قائلًا:,8- ރުކޫޢުން (ތެދުވަން) އޭނާގެ ބޯ އުފުލާނީއެވެ. އެއީ އޭނާގެ ދެއަތް، ދެކޮނޑާ ހަމައަށް ނުވަތަ ދެ ކަންފަތުގެ ފޫޅާ ހަމައަށް އުފުލަމުން، މިހެން ކިޔަމުންނެވެ:,
(‌سَمِعَ ‌اللَّهُ ‌لِمَنْ ‌حَمِدَهُ),"(‌سَمِعَ ‌اللَّهُ ‌لِمَنْ ‌حَمِدَهُ) މާނައީ: ""އެއިލާހަށް ޙަމްދުކުރި މީހާގެ އަޑު، ﷲ އައްސަވައިފިއެވެ.""",
إن كان إمامًا أو منفردًا-، ويقول حال قيامه:,- (އެހެން ކިޔާނީ) އިމާމެއްގެ ގޮތުގައި ނުވަތަ އެކަނިހުރެ ނަމާދު ކުރާނަމައެވެ. - އަދި އޭނާ ތެދުވެ ޤިޔާމުގައި ހުންނައިރު މިހެން ކިޔާނީއެވެ:,އިމާމެއްގެ ގޮތުގައި ނުވަތަ އެކަނި ކުރާނަމަ، ކިޔާނީ: (‌سَمِعَ ‌اللَّهُ ‌لِمَنْ ‌حَمِدَهُ) މިފަދައިންނެވެ. މައުމޫމެއްގެ ގޮތުގައިނަމަ، އެހެން ކިޔުމެއް ނެތެވެ.
(رَبَّنَا ولَكَ الحَمْدُ حَمْدًا كَثِيرًا طَيِّبًا مُبَارَكًا فِيهِ مِلْءَ السَّمَواتِ ومِلْءَ الأرضِ، ومِلْءَ ما شِئتَ مِن شيءٍ بَعدُ) [8].,"(رَبَّنَا ولَكَ الحَمْدُ حَمْدًا كَثِيرًا طَيِّبًا مُبَارَكًا فِيهِ مِلْءَ السَّمَواتِ ومِلْءَ الأرضِ، ومِلْءَ ما شِئتَ مِن شيءٍ بَعدُ) މާނައި: ""އަޅަމެންގެ ރައްބެވެ! އަދި ގިނަގުނަވެގެންވާ، ރިވެތިވެގެންވާ، ބަރަކާތް ލެއްވިގެންވާ ޙަމްދަކުން އިބަ އިލާހަށް ޙަމްދު ހުއްޓެވެ. އެއީ އުޑުތައް ފުރައި ވާހައި އެއްޗަކާއި އަދި ބިން ފުރައި ވާހައި އެއްޗަކާއި އަދި އެއަށްފަހުވެސް އިބަ އިލާހު އެދިވޮޑިގެންވާ އެއްޗެއް ފުރޭންދެނެވެ."" [8]",
[8] رواه البخاري، برقم (711)، ومسلم، برقم (598).,[8] އެ ޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (711) ގައެވެ. އަދި މުސްލިމްއެވެ. އެއީ ނަމްބަރު (598) ގައެވެ.,
